ear_data,ear
2003-07-30,74243.65445999999
2003-07-31,73938.69544000001
2003-08-01,73654.40981
2003-08-02,73414.15879
2003-08-03,73175.26942
2003-08-04,72890.68593
2003-08-05,72557.80542
2003-08-06,72229.8681
2003-08-07,71917.85958
2003-08-08,71588.1989
2003-08-09,71324.72137
2003-08-10,71168.5327
2003-08-11,70892.90654
2003-08-12,70590.14612
2003-08-13,70253.77635
2003-08-14,69907.32168
2003-08-15,69657.71634
2003-08-16,69340.75038
2003-08-17,69130.25056
2003-08-18,68802.03662
2003-08-19,68501.15562
2003-08-20,68173.1616
2003-08-21,67813.18234
2003-08-22,67469.11772
2003-08-23,67175.76128
2003-08-24,66908.85825
2003-08-25,66554.94979
2003-08-26,66274.75631
2003-08-27,65947.86154
2003-08-28,65635.74667000001
2003-08-29,65246.214700000004
2003-08-30,64937.84437
2003-08-31,64702.94791
2003-09-01,64340.458060000004
2003-09-02,63965.32304
2003-09-03,63668.27884
2003-09-04,63302.349350000004
2003-09-05,62940.065180000005
2003-09-06,62624.66662
2003-09-07,62337.86327
2003-09-08,61950.45186
2003-09-09,61571.03322
2003-09-10,61179.36655
2003-09-11,60915.83943
2003-09-12,60539.23634
2003-09-13,60187.24976
2003-09-14,59996.29574
2003-09-15,59648.63537
2003-09-16,59313.25137
2003-09-17,58974.98799
2003-09-18,58665.1922
2003-09-19,58342.19097
2003-09-20,57945.588149999996
2003-09-21,57692.91895000001
2003-09-22,57393.385480000004
2003-09-23,56941.7979
2003-09-24,56539.89036
2003-09-25,56133.49346
2003-09-26,55666.09762
2003-09-27,55439.90312
2003-09-28,55169.02145
2003-09-29,54812.83634
2003-09-30,54504.01214
2003-10-01,54103.693100000004
2003-10-02,53667.19036
2003-10-03,53225.90047
2003-10-04,52756.73156
2003-10-05,52419.07798
2003-10-06,51987.46875
2003-10-07,51644.29064
2003-10-08,51218.078440000005
2003-10-09,50854.25512
2003-10-10,50607.224
2003-10-11,50545.8562
2003-10-12,50461.10581
2003-10-13,50233.84741
2003-10-14,50022.95047
2003-10-15,49691.36062
