nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2008-01-01;803.0;47.06;803.0;47.06
AIMORES;143;Fio dagua;DOCE;;SE;SUDESTE;2008-01-01;105.0;27.02;96.0;24.71
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2008-01-01;31.0;26.05;25.0;21.01
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2008-01-01;40.0;27.48;40.0;27.48
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;2008-01-01;221.0;85.7;221.0;85.7
BILL E PEDRAS;888;Reservatório sem usina;TIETE;;SE;SUDESTE;2008-01-01;0.0;;0.0;
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;2008-01-01;0.0;;0.0;
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2008-01-01;120.0;50.14;120.0;50.14
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2008-01-01;278.0;35.1;278.0;35.1
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2008-01-01;142.0;46.61;142.0;46.61
C.BRANCO-2;28;Fio dagua;PARANAIBA;;SE;SUDESTE;2008-01-01;122.0;48.35;122.0;48.35
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2008-01-01;26.0;33.18;26.0;33.18
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2008-01-01;11.0;22.56;11.0;22.56
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;2008-01-01;317.0;83.01;317.0;83.01
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2008-01-01;76.0;12.18;76.0;12.18
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2008-01-01;42.0;33.82;42.0;33.82
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2008-01-01;58.0;54.74;58.0;54.74
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2008-01-01;48.0;54.89;48.0;54.89
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2008-01-01;358.0;60.12;358.0;60.12
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2008-01-01;197.0;58.78;197.0;58.78
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2008-01-01;147.0;32.62;147.0;32.62
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2008-01-01;44.0;33.13;44.0;33.13
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2008-01-01;24.0;102.5;24.0;102.5
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2008-01-01;64.0;88.3;64.0;88.3
DARDANELOS;310;Fio dagua;AMAZONAS;;SE;SUDESTE;2008-01-01;219.0;50.67;219.0;50.67
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2008-01-01;34.0;28.99;34.0;28.99
EDGARD SOUZA;107;Reservatório Com Usina de Bombeamento;TIETE;;SE;SUDESTE;2008-01-01;0.0;;0.0;
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2008-01-01;276.0;28.43;276.0;28.43
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;2008-01-01;0.0;;0.0;
