nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2006-01-01;1072.0;62.83;1072.0;62.83
AIMORES;143;Fio dagua;DOCE;;SE;SUDESTE;2006-01-01;235.0;60.48;43.0;11.07
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2006-01-01;65.0;54.63;65.0;54.63
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2006-01-01;73.0;50.16;73.0;50.16
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2006-01-01;177.0;73.96;177.0;73.96
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2006-01-01;724.0;91.4;724.0;91.4
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2006-01-01;53.0;67.63;53.0;67.63
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2006-01-01;26.0;53.33;26.0;53.33
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2006-01-01;514.0;82.38;514.0;82.38
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2006-01-01;71.0;57.17;71.0;57.17
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2006-01-01;69.0;65.12;69.0;65.12
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2006-01-01;58.0;66.32;58.0;66.32
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2006-01-01;365.0;61.29;227.0;38.12
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2006-01-01;260.0;77.57;260.0;77.57
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2006-01-01;517.0;114.72;313.0;69.45
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2006-01-01;48.0;205.01;37.0;158.03
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2006-01-01;60.0;82.78;60.0;82.78
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2006-01-01;71.0;60.55;71.0;60.55
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2006-01-01;810.0;83.42;810.0;83.42
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2006-01-01;106.0;92.59;106.0;92.59
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2006-01-01;98.0;48.9;98.0;48.9
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2006-01-01;107.0;53.33;107.0;53.33
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2006-01-01;750.0;55.88;750.0;55.88
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2006-01-01;281.0;39.54;281.0;39.54
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2006-01-01;158.0;95.17;158.0;95.17
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2006-01-01;51.0;102.0;51.0;102.0
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2006-01-01;88.0;57.55;88.0;57.55
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2006-01-01;329.0;89.68;329.0;89.68
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;2006-01-01;2941.0;85.59;2941.0;85.59
IBITINGA;39;Fio dagua;TIETE;;SE;SUDESTE;2006-01-01;89.0;51.61;89.0;51.61
IGARAPAVA;10;Fio dagua;GRANDE;;SE;SUDESTE;2006-01-01;147.0;47.14;147.0;47.14
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2006-01-01;109.0;48.28;109.0;48.28
