nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
14 DE JULHO;99;Fio dagua;JACUI;;S;SUL;2009-01-01;0.0;;0.0;
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;2150.0;126.0;2150.0;126.0
AIMORES;143;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;894.0;230.07;445.0;114.52
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2009-01-01;43.0;36.14;43.0;36.14
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2009-01-01;60.0;41.23;60.0;41.23
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-01;71.0;27.53;71.0;27.53
BILL E PEDRAS;888;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-01;0.0;;0.0;
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-01;0.0;;0.0;
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2009-01-01;185.0;77.3;185.0;77.3
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2009-01-01;1002.0;126.5;1002.0;126.5
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;358.0;117.51;358.0;117.51
C.BRANCO-2;28;Fio dagua;PARANAIBA;;SE;SUDESTE;2009-01-01;358.0;141.87;358.0;141.87
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;99.0;126.33;99.0;126.33
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;70.0;143.58;48.0;98.45
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-01;192.0;50.28;192.0;50.28
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2009-01-01;434.0;69.56;434.0;69.56
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;259.0;208.55;152.0;122.39
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;48.0;45.3;48.0;45.3
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;40.0;45.74;40.0;45.74
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-01;247.0;41.48;247.0;41.48
CASTRO ALVES;97;Fio dagua;JACUI;;S;SUL;2009-01-01;21.0;28.91;9.0;12.39
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-01;173.0;51.62;173.0;51.62
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;286.0;63.46;286.0;63.46
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;0.0;;0.0;
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;104.0;78.31;104.0;78.31
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2009-01-01;53.0;226.36;24.0;102.5
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2009-01-01;45.0;62.08;45.0;62.08
DARDANELOS;310;Fio dagua;AMAZONAS;;SE;SUDESTE;2009-01-01;466.0;107.83;466.0;107.83
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;119.0;101.48;119.0;101.48
EDGARD SOUZA;107;Reservatório Com Usina de Bombeamento;TIETE;;SE;SUDESTE;2009-01-01;0.0;;0.0;
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;1200.0;123.59;1200.0;123.59
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;2009-01-01;0.0;;0.0;
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;33.0;102.98;33.0;102.98
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;129.0;112.68;129.0;112.68
FUNDÃO;72;Fio dagua;IGUACU;;S;SUL;2009-01-01;33.0;40.71;33.0;40.71
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;195.0;97.3;195.0;97.3
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;386.0;192.37;210.0;104.66
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;2211.0;164.74;2211.0;164.74
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2009-01-01;238.0;33.49;238.0;33.49
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2009-01-01;99.0;59.63;99.0;59.63
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2009-01-01;51.0;102.0;51.0;102.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-01;0.0;;0.0;
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;258.0;168.72;143.0;93.52
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2009-01-01;205.0;55.88;205.0;55.88
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;2009-01-01;4204.0;122.34;4204.0;122.34
IBITINGA;39;Fio dagua;TIETE;;SE;SUDESTE;2009-01-01;86.0;49.87;86.0;49.87
IGARAPAVA;10;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;509.0;163.22;509.0;163.22
