nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;290.0;128.45;188.0;83.27
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;2009-01-01;631.0;125.2;631.0;125.2
ITÁ;92;Fio dagua;URUGUAI;;S;SUL;2009-01-01;275.0;42.96;275.0;42.96
ITAIPU;66;Fio dagua;PARANA;;SE;SUDESTE;2009-01-01;12804.0;83.75;12804.0;83.75
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;1682.0;81.53;1682.0;81.53
ITAPEBI;154;Fio dagua;JEQUITINHONHA;;NE;NORDESTE;2009-01-01;847.0;147.17;847.0;147.17
ITAUBA;113;Fio dagua;JACUI;;S;SUL;2009-01-01;99.0;69.04;99.0;69.04
ITIQUIRA I;304;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-01;77.0;99.98;45.0;58.43
ITIQUIRA II;305;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-01;125.0;99.7;125.0;99.7
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;2166.0;118.73;2166.0;118.73
ITUTINGA;2;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;87.0;143.73;52.0;85.91
JACUI;112;Fio dagua;JACUI;;S;SUL;2009-01-01;87.0;74.85;87.0;74.85
JAGUARA;9;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;1311.0;162.48;1311.0;162.48
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;13.0;57.64;13.0;57.64
JAURU;195;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-01;70.0;78.45;70.0;78.45
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;2009-01-01;0.0;;0.0;
JUPIA;45;Fio dagua;PARANA;;SE;SUDESTE;2009-01-01;2342.0;117.58;2342.0;117.58
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-01;50.0;51.48;50.0;51.48
L. C. BARRETO;8;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;1789.0;160.6;1789.0;160.6
LAJEADO;261;Fio dagua;TOCANTINS;;SE;SUDESTE;2009-01-01;1066.0;75.3;1066.0;75.3
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;0.0;;0.0;
LIMOEIRO;16;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;33.0;100.23;33.0;100.23
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;1001.0;154.83;1001.0;154.83
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-01;194.0;41.26;194.0;41.26
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;2009-01-01;132.0;84.4;132.0;84.4
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-01;2155.0;134.38;2155.0;134.38
MASCARENHAS;144;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;767.0;231.61;252.0;76.1
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;403.0;110.26;403.0;110.26
MONTE CLARO;98;Fio dagua;JACUI;;S;SUL;2009-01-01;17.0;28.88;11.0;18.69
MOXOTO;173;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;366.0;81.64;366.0;81.64
N. AVANHANDAVA;42;Fio dagua;TIETE;;SE;SUDESTE;2009-01-01;180.0;57.78;180.0;57.78
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;379.0;100.76;379.0;100.76
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;535.0;102.96;535.0;102.96
OURINHOS;249;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;25.0;50.84;23.0;46.78
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;1427.0;81.59;1427.0;81.59
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;2038.0;81.59;2038.0;81.59
P. COLOMBIA;12;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;737.0;148.49;737.0;148.49
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;59.0;80.09;59.0;80.09
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-01;48.0;60.41;48.0;60.41
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;2009-01-01;39.0;73.97;39.0;73.97
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;2009-01-01;308.0;209.65;308.0;209.65
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;2009-01-01;456.0;61.82;456.0;61.82
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;61.0;103.26;61.0;103.26
PICADA;126;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;128.0;183.19;49.0;70.13
PIRAJU;48;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;40.0;51.35;40.0;51.35
PONTE DE PEDRA;281;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-01;241.0;124.78;241.0;124.78
PONTE NOVA;105;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-01;0.0;;0.0;
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;2009-01-01;157.0;122.29;129.0;100.48
PORTO PRIMAVERA;46;Fio dagua;PARANA;;SE;SUDESTE;2009-01-01;2162.0;112.06;2162.0;112.06
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;2009-01-01;123.0;53.67;123.0;53.67
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-01;28.0;46.31;28.0;46.31
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2009-01-01;81.0;62.99;81.0;62.99
ROSAL;217;Fio dagua;ITABAPOANA;;SE;SUDESTE;2009-01-01;187.0;180.18;37.0;35.65
ROSANA;63;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;132.0;40.1;132.0;40.1
SA CARVALHO;193;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;278.0;181.92;114.0;74.6
SALTO CAXIAS;82;Fio dagua;IGUACU;;S;SUL;2009-01-01;222.0;31.51;222.0;31.51
SALTO GRANDE CM;134;Fio dagua;DOCE;;SE;SUDESTE;2009-01-01;252.0;110.87;228.0;100.32
SALTO GRANDE CS;50;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;47.0;47.01;47.0;47.01
SALTO OSORIO;78;Fio dagua;IGUACU;;S;SUL;2009-01-01;199.0;32.94;199.0;32.94
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;2009-01-01;287.0;33.81;287.0;33.81
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;37.0;87.5;37.0;87.5
SANTA CECILIA;125;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;0.0;0.0;0.0;0.0
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;;S;SUL;2009-01-01;30.0;39.62;30.0;39.62
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-01;3200.0;127.44;3200.0;127.44
SEGREDO;76;Reservatório com Usina;IGUACU;;S;SUL;2009-01-01;268.0;32.56;268.0;32.56
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;2009-01-01;1030.0;71.22;1030.0;71.22
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;1004.0;91.25;1004.0;91.25
SOBRADINHO INCR;168;Posto incremental;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;0.0;;0.0;
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;142.0;179.02;49.0;61.78
STA.CLARA-MG;283;Fio dagua;MUCURI;;SE;SUDESTE;2009-01-01;62.0;78.61;62.0;78.61
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-01;146.0;40.69;146.0;40.69
TOCOS;180;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;0.0;;0.0;
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;;SE;SUDESTE;2009-01-01;393.0;78.37;393.0;78.37
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2009-01-01;1262.0;205.19;983.0;159.83
TUCURUI;275;Reservatório com Usina;TOCANTINS;;N;NORTE;2009-01-01;6774.0;82.93;6774.0;82.93
VIGARIO;182;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;;SE;SUDESTE;2009-01-01;0.0;;0.0;
VOLTA GRANDE;11;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-01;845.0;158.44;845.0;158.44
XINGO;178;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-01;4073.0;81.61;4073.0;81.61
14 DE JULHO;99;Fio dagua;JACUI;;S;SUL;2009-01-02;0.0;;0.0;
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;2228.0;130.58;2228.0;130.58
AIMORES;143;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;703.0;180.92;427.0;109.89
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2009-01-02;60.0;50.42;60.0;50.42
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2009-01-02;73.0;50.16;73.0;50.16
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-02;46.0;17.84;46.0;17.84
BILL E PEDRAS;888;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-02;0.0;;0.0;
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-02;0.0;;0.0;
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2009-01-02;163.0;68.11;163.0;68.11
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2009-01-02;823.0;103.9;823.0;103.9
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;306.0;100.45;306.0;100.45
C.BRANCO-2;28;Fio dagua;PARANAIBA;;SE;SUDESTE;2009-01-02;271.0;107.39;271.0;107.39
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;88.0;112.3;88.0;112.3
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;73.0;149.73;50.0;102.55
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-02;187.0;48.97;187.0;48.97
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2009-01-02;429.0;68.76;429.0;68.76
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;277.0;223.04;152.0;122.39
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-02;59.0;55.68;59.0;55.68
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-02;50.0;57.17;50.0;57.17
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-02;284.0;47.69;284.0;47.69
CASTRO ALVES;97;Fio dagua;JACUI;;S;SUL;2009-01-02;19.0;26.16;6.0;8.26
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-02;204.0;60.87;204.0;60.87
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;278.0;61.69;278.0;61.69
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;0.0;;0.0;
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;95.0;71.53;95.0;71.53
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2009-01-02;48.0;205.01;24.0;102.5
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2009-01-02;41.0;56.56;41.0;56.56
DARDANELOS;310;Fio dagua;AMAZONAS;;SE;SUDESTE;2009-01-02;498.0;115.23;498.0;115.23
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;123.0;104.89;123.0;104.89
EDGARD SOUZA;107;Reservatório Com Usina de Bombeamento;TIETE;;SE;SUDESTE;2009-01-02;0.0;;0.0;
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;1090.0;112.26;1090.0;112.26
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;2009-01-02;0.0;;0.0;
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;33.0;102.98;33.0;102.98
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;129.0;112.68;129.0;112.68
FUNDÃO;72;Fio dagua;IGUACU;;S;SUL;2009-01-02;36.0;44.41;36.0;44.41
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;184.0;91.81;184.0;91.81
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;383.0;190.88;219.0;109.14
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;2215.0;165.04;2215.0;165.04
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2009-01-02;280.0;39.4;280.0;39.4
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2009-01-02;157.0;94.57;157.0;94.57
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2009-01-02;49.0;98.0;49.0;98.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-02;0.0;;0.0;
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;324.0;211.89;131.0;85.67
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2009-01-02;248.0;67.6;248.0;67.6
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;2009-01-02;4144.0;120.59;4144.0;120.59
IBITINGA;39;Fio dagua;TIETE;;SE;SUDESTE;2009-01-02;99.0;57.41;99.0;57.41
IGARAPAVA;10;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;492.0;157.77;492.0;157.77
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;365.0;161.67;220.0;97.44
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;2009-01-02;432.0;85.72;432.0;85.72
ITÁ;92;Fio dagua;URUGUAI;;S;SUL;2009-01-02;261.0;40.77;261.0;40.77
ITAIPU;66;Fio dagua;PARANA;;SE;SUDESTE;2009-01-02;13747.0;89.92;13747.0;89.92
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2009-01-02;1787.0;86.62;1787.0;86.62
ITAPEBI;154;Fio dagua;JEQUITINHONHA;;NE;NORDESTE;2009-01-02;906.0;157.42;906.0;157.42
ITAUBA;113;Fio dagua;JACUI;;S;SUL;2009-01-02;90.0;62.76;90.0;62.76
ITIQUIRA I;304;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-02;65.0;84.4;56.0;72.71
ITIQUIRA II;305;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-02;105.0;83.75;105.0;83.75
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;1769.0;96.97;1769.0;96.97
ITUTINGA;2;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;90.0;148.69;52.0;85.91
JACUI;112;Fio dagua;JACUI;;S;SUL;2009-01-02;81.0;69.69;81.0;69.69
JAGUARA;9;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;1262.0;156.4;1262.0;156.4
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;14.0;62.07;14.0;62.07
JAURU;195;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-02;69.0;77.33;69.0;77.33
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;2009-01-02;0.0;;0.0;
JUPIA;45;Fio dagua;PARANA;;SE;SUDESTE;2009-01-02;2287.0;114.81;2287.0;114.81
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2009-01-02;51.0;52.51;51.0;52.51
L. C. BARRETO;8;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;1736.0;155.84;1736.0;155.84
LAJEADO;261;Fio dagua;TOCANTINS;;SE;SUDESTE;2009-01-02;948.0;66.96;948.0;66.96
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;0.0;;0.0;
LIMOEIRO;16;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;35.0;106.3;35.0;106.3
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;1020.0;157.77;1020.0;157.77
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-02;185.0;39.34;185.0;39.34
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;2009-01-02;122.0;78.01;122.0;78.01
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;2009-01-02;2238.0;139.56;2238.0;139.56
MASCARENHAS;144;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;596.0;179.98;192.0;57.98
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;360.0;98.5;360.0;98.5
MONTE CLARO;98;Fio dagua;JACUI;;S;SUL;2009-01-02;17.0;28.88;5.0;8.5
MOXOTO;173;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-02;389.0;86.77;389.0;86.77
N. AVANHANDAVA;42;Fio dagua;TIETE;;SE;SUDESTE;2009-01-02;169.0;54.25;169.0;54.25
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;379.0;100.76;379.0;100.76
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2009-01-02;483.0;92.95;483.0;92.95
OURINHOS;249;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-02;29.0;58.98;28.0;56.95
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-02;1516.0;86.68;1516.0;86.68
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2009-01-02;2166.0;86.71;2166.0;86.71
P. COLOMBIA;12;Fio dagua;GRANDE;;SE;SUDESTE;2009-01-02;752.0;151.51;752.0;151.51
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;59.0;80.09;59.0;80.09
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-02;49.0;61.67;49.0;61.67
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;2009-01-02;37.0;70.18;37.0;70.18
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;2009-01-02;176.0;119.8;176.0;119.8
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;2009-01-02;431.0;58.43;431.0;58.43
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;61.0;103.26;61.0;103.26
PICADA;126;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2009-01-02;142.0;203.23;49.0;70.13
PIRAJU;48;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-02;41.0;52.63;41.0;52.63
PONTE DE PEDRA;281;Fio dagua;PARAGUAI;;SE;SUDESTE;2009-01-02;234.0;121.15;234.0;121.15
PONTE NOVA;105;Reservatório sem usina;TIETE;;SE;SUDESTE;2009-01-02;0.0;;0.0;
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;2009-01-02;169.0;131.63;127.0;98.92
PORTO PRIMAVERA;46;Fio dagua;PARANA;;SE;SUDESTE;2009-01-02;2212.0;114.66;2212.0;114.66
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;2009-01-02;122.0;53.23;122.0;53.23
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;2009-01-02;30.0;49.62;30.0;49.62
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2009-01-02;82.0;63.77;82.0;63.77
ROSAL;217;Fio dagua;ITABAPOANA;;SE;SUDESTE;2009-01-02;277.0;266.9;32.0;30.83
ROSANA;63;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2009-01-02;141.0;42.83;141.0;42.83
SA CARVALHO;193;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;311.0;203.52;62.0;40.57
SALTO CAXIAS;82;Fio dagua;IGUACU;;S;SUL;2009-01-02;226.0;32.08;226.0;32.08
SALTO GRANDE CM;134;Fio dagua;DOCE;;SE;SUDESTE;2009-01-02;299.0;131.55;258.0;113.51
