nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-01;54.0;55.6;54.0;55.6
L. C. BARRETO;8;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;807.0;72.44;807.0;72.44
LAJEADO;261;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-01;597.0;42.17;597.0;42.17
LIMOEIRO;16;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;17.0;51.63;17.0;51.63
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;451.0;69.76;400.0;61.87
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-01;202.0;42.96;202.0;42.96
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;2005-01-01;114.0;72.89;114.0;72.89
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;1499.0;93.47;1499.0;93.47
MASCARENHAS;144;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;339.0;102.37;72.0;21.74
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;258.0;70.59;258.0;70.59
MONTE CLARO;98;Fio dagua;JACUI;;S;SUL;2005-01-01;14.0;23.79;4.0;6.8
MOXOTO;173;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;337.0;75.17;337.0;75.17
N. AVANHANDAVA;42;Fio dagua;TIETE;;SE;SUDESTE;2005-01-01;212.0;68.05;212.0;68.05
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;379.0;100.76;379.0;100.76
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;320.0;61.58;320.0;61.58
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;1314.0;75.13;1314.0;75.13
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;1876.0;75.1;1876.0;75.1
P. COLOMBIA;12;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;443.0;89.26;443.0;89.26
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;26.0;35.29;26.0;35.29
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-01;24.0;30.2;24.0;30.2
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;2005-01-01;19.0;36.04;19.0;36.04
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;2005-01-01;16.0;10.89;16.0;10.89
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;58.0;98.18;58.0;98.18
PIRAJU;48;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;44.0;56.48;43.0;55.2
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;2005-01-01;76.0;59.2;76.0;59.2
PORTO PRIMAVERA;46;Fio dagua;PARANA;;SE;SUDESTE;2005-01-01;2059.0;106.72;1636.0;84.8
