nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2007-01-01;1817.0;106.49;1817.0;106.49
AIMORES;143;Fio dagua;DOCE;;SE;SUDESTE;2007-01-01;587.0;151.06;179.0;46.07
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2007-01-01;93.0;78.16;81.0;68.07
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2007-01-01;112.0;76.95;112.0;76.95
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;2007-01-01;117.0;45.37;117.0;45.37
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;2007-01-01;0.0;;0.0;
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2007-01-01;141.0;58.92;141.0;58.92
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2007-01-01;1118.0;141.14;1118.0;141.14
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2007-01-01;441.0;144.76;441.0;144.76
C.BRANCO-2;28;Fio dagua;PARANAIBA;;SE;SUDESTE;2007-01-01;0.0;;0.0;
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2007-01-01;166.0;211.83;166.0;211.83
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2007-01-01;27.0;55.38;27.0;55.38
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;2007-01-01;0.0;;0.0;
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2007-01-01;404.0;64.75;404.0;64.75
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2007-01-01;129.0;103.87;129.0;103.87
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2007-01-01;74.0;69.84;74.0;69.84
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2007-01-01;63.0;72.04;63.0;72.04
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2007-01-01;331.0;55.58;331.0;55.58
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2007-01-01;269.0;80.26;269.0;80.26
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2007-01-01;938.0;208.14;633.0;140.46
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2007-01-01;473.0;356.14;473.0;356.14
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2007-01-01;17.0;72.61;17.0;72.61
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2007-01-01;50.0;68.98;50.0;68.98
DARDANELOS;310;Fio dagua;AMAZONAS;;SE;SUDESTE;2007-01-01;300.0;69.42;300.0;69.42
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2007-01-01;140.0;119.39;140.0;119.39
EDGARD SOUZA;107;Reservatório Com Usina de Bombeamento;TIETE;;SE;SUDESTE;2007-01-01;0.0;;0.0;
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2007-01-01;1526.0;157.16;1526.0;157.16
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;2007-01-01;0.0;;0.0;
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2007-01-01;39.0;121.71;39.0;121.71
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2007-01-01;129.0;112.68;129.0;112.68
FUNDÃO;72;Fio dagua;IGUACU;;S;SUL;2007-01-01;94.0;115.97;94.0;115.97
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2007-01-01;250.0;124.74;250.0;124.74
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2007-01-01;121.0;60.3;121.0;60.3
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2007-01-01;1253.0;93.36;1253.0;93.36
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2007-01-01;610.0;85.83;610.0;85.83
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2007-01-01;52.0;31.32;52.0;31.32
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2007-01-01;61.0;122.0;57.0;114.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;2007-01-01;0.0;;0.0;
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2007-01-01;122.0;79.78;95.0;62.13
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2007-01-01;464.0;126.48;464.0;126.48
