din_instante,cmo
2009-01-02,76.5084698
2009-01-09,35.5326917
2009-01-16,59.6758963
2009-01-23,129.3442185
2009-01-30,104.0916748
2009-02-06,51.281168400000006
2009-02-13,55.6956916
2009-02-20,62.83907310000001
2009-02-27,18.9639172
2009-03-06,60.4073731
2009-03-13,74.402738
2009-03-20,97.43108140000001
2009-03-27,87.65921740000002
2009-04-03,95.6558703
2009-04-10,23.2196859
2009-04-17,36.996772500000006
2009-04-24,28.4749575
2009-05-01,33.644358
2009-05-08,40.7682111
2009-05-15,31.9327097
2009-05-22,31.998028
2009-05-29,32.824962299999996
2009-06-05,34.417837500000005
2009-06-12,31.7324291
2009-06-19,37.6282707
2009-06-26,41.590514799999994
2009-07-03,47.6338695
2009-07-10,35.3687247
2009-07-17,28.724106
2009-07-24,18.823382199999998
2009-07-31,20.2895942
2009-08-07,10.6897862
2009-08-14,9.739805200000001
2009-08-21,9.9420708
2009-08-28,11.692674
2009-09-04,7.8698426
2009-09-11,7.6598468
2009-09-18,3.2151185
2009-09-25,3.2911455
2009-10-02,1.6388353
2009-10-09,1.9893958
2009-10-16,2.8474626
2009-10-23,2.3109479
2009-10-30,1.3216763999999999
2009-11-06,0.5216917000000001
2009-11-13,0.4399912
2009-11-20,0.3399932
2009-11-27,0.6616889
2009-12-04,1.2210396000000001
2009-12-11,0.5891374
2009-12-18,0.0499282
2009-12-25,0.123402
2010-01-01,0.337653
2010-01-08,0.0024113
2010-01-15,0.0
2010-01-22,0.0
2010-01-29,0.1310617
2010-02-05,22.7865734
2010-02-12,0.0
2010-02-19,2.3403875
2010-02-26,11.1523339
2010-03-05,22.7865734
2010-03-12,12.8057066
2010-03-19,17.487740699999996
2010-03-26,33.4640118
2010-04-02,36.1718305
2010-04-09,17.9341156
2010-04-16,12.267846299999999
2010-04-23,23.110530699999998
2010-04-30,22.563378900000004
2010-05-07,18.8647318
2010-05-14,24.8315001
2010-05-21,31.1346968
2010-05-28,32.5599192
2010-06-04,54.6689066
2010-06-11,58.7788244
2010-06-18,57.888842200000006
2010-06-25,63.2687346
2010-07-02,100.91110330000001
2010-07-09,99.9493485
2010-07-16,94.1798188
2010-07-23,85.33162759999999
2010-07-30,76.6920843
2010-08-06,102.93113290000001
2010-08-13,124.93480629999999
2010-08-20,114.0350952
2010-08-27,123.46951640000002
2010-09-03,113.5933338
2010-09-10,132.9597556
2010-09-17,127.17277920000001
2010-09-24,139.8114626
2010-10-01,185.5356567
2010-10-08,170.6373007
2010-10-15,140.7122245
2010-10-22,174.71353440000001
2010-10-29,186.1073514
2010-11-05,147.0370592
2010-11-12,120.5150348
2010-11-19,125.29727999999999
2010-11-26,103.7379219
2010-12-03,83.42471169999999
2010-12-10,89.8866366
2010-12-17,72.9972617
2010-12-24,61.830039000000006
2010-12-31,51.547266300000004
2011-01-07,53.738925200000004
2011-01-14,17.1804365
2011-01-21,24.915529900000003
2011-01-28,21.1519175
2011-02-04,13.327327400000001
2011-02-11,36.184808200000006
2011-02-18,44.6887043
2011-02-25,53.07208610000001
2011-03-04,79.5335905
2011-03-11,0.0
2011-03-18,34.1703833
2011-03-25,10.9940365
2011-04-01,0.0
2011-04-08,0.0
2011-04-15,0.0
2011-04-22,0.0
2011-04-29,5.3195385
2011-05-06,14.699918799999999
2011-05-13,13.2490967
2011-05-20,14.585027500000002
2011-05-27,15.879682400000002
2011-06-03,27.676751399999997
2011-06-10,30.189396200000004
2011-06-17,32.1193576
2011-06-24,27.549449000000003
2011-07-01,28.2194356
2011-07-08,27.0794584
2011-07-15,22.6595468
2011-07-22,20.719585600000002
2011-07-29,19.3489038
2011-08-05,20.8523612
2011-08-12,14.535178
2011-08-19,15.984086
2011-08-26,21.5294398
2011-09-02,13.291810700000001
2011-09-09,13.891942
2011-09-16,19.0250204
2011-09-23,22.060915
2011-09-30,22.5319008
2011-10-07,40.4325958
2011-10-14,40.8191836
2011-10-21,36.099278
2011-10-28,21.9802696
2011-11-04,36.8292634
2011-11-11,42.5391492
2011-11-18,38.5792284
2011-11-25,43.8291234
2011-12-02,60.0787984
2011-12-09,48.293502000000004
2011-12-16,32.0695707
2011-12-23,39.6326105
2011-12-30,35.5783653
2012-01-06,38.261217
2012-01-13,24.228236699999997
2012-01-20,6.5673859
2012-01-27,7.8745938
2012-02-03,9.796753500000001
2012-02-10,29.450968500000002
2012-02-17,44.028477
2012-02-24,49.428864000000004
2012-03-02,57.9579147
2012-03-09,98.07626429999999
2012-03-16,134.9214842
2012-03-23,140.6538516
2012-03-30,138.8872222
2012-04-06,186.79902850000002
2012-04-13,194.64723759999998
2012-04-20,202.175528
2012-04-27,196.4760704
2012-05-04,189.450111
2012-05-11,180.28639420000002
2012-05-18,172.54654900000003
2012-05-25,191.85616280000002
2012-06-01,178.2430308
2012-06-08,146.81224100000003
2012-06-15,148.46703060000002
2012-06-22,102.61794760000001
2012-06-29,77.3835587
2012-07-06,56.578868400000005
2012-07-13,95.5180896
2012-07-20,107.03785920000001
2012-07-27,104.4079118
2012-08-03,89.21821560000001
2012-08-10,107.6078478
2012-08-17,117.47765040000002
2012-08-24,129.9108062
2012-08-31,138.8072238
2012-09-07,175.65648679999998
2012-09-14,182.2263554
2012-09-21,190.64618700000003
2012-09-28,188.6577871
2012-10-05,179.5723661
2012-10-12,243.6576094
2012-10-19,322.5102874
2012-10-26,297.2551917
2012-11-02,362.342753
2012-11-09,431.7213654
2012-11-16,453.840923
2012-11-23,317.9236414
2012-11-30,312.8637426
2012-12-07,200.2559948
2012-12-14,265.88468220000004
2012-12-21,181.82643430000002
2012-12-28,336.115049
2013-01-04,341.0031798
2013-01-11,554.1721076
2013-01-18,336.28327420000005
2013-01-25,477.80044380000004
2013-02-01,300.9634831
2013-02-08,172.946541
