,Date,Price,change,cmo,ear,ena,DT_COMPTC,IBOV,Dol,NDX,SPX,Fluxo
0,2021-05-14,80879.03,1.56,151.6168196,45924.29253078,16198.77581414,2021-05-14,121880.8,5.2728,13393.12,4173.85,286.348
1,2021-05-07,80260.32,1.35,131.645298,46674.90222219,16863.57720553,2021-05-07,122038.1,5.2369,13719.63,4232.6,684.009
2,2021-04-30,80122.1,-1.3,157.816204,47630.58651958,17720.49328921,2021-04-30,118893.8,5.4381,13860.76,4181.17,1424.669
3,2021-04-23,81343.06,0.7,159.47368830000002,48115.5944647,18652.87040325,2021-04-23,120530.1,5.4764,13941.44,4180.17,1699.744
4,2021-04-16,81084.32,1.67,120.3980849,48409.51184501,19410.21062458,2021-04-16,121113.9,5.588,14041.91,4185.47,411.578
5,2021-04-09,80021.07,-0.6,143.5521719,48865.71721469,21085.00697565,2021-04-09,117669.9,5.6821,13845.05,4128.8,127.042
6,2021-03-26,78925.56,0.78,129.40507940000003,48179.08651864,26571.65484459,2021-03-26,114780.6,5.7565,12979.12,3974.54,140.919
7,2021-03-19,78924.6,1.69,123.9288736,47099.739806640006,31522.44795585,2021-03-19,116221.6,5.491,12866.99,3913.1,92.686
8,2021-03-12,75848.5,0.16,74.6094016,45152.27291656,34438.4559714,2021-03-12,114160.4,5.5552,12937.29,3943.34,340.175
9,2021-03-05,75494.25,-0.3,134.581282,42600.66413103,33688.16534986,2021-03-05,115202.2,5.6838,12668.51,3841.94,324.51
10,2021-02-26,74396.16,-1.8,175.7364852,39999.63527418,33334.4243391,2021-02-26,110035.2,5.6023,12909.44,3811.15,2072.75
11,2021-02-19,78962.41,-0.4,166.41667159999997,37740.84966721,33384.76206102,2021-02-19,118430.5,5.3872,13580.78,3906.71,618.334
12,2021-02-12,81022.74,-0.6,179.23847740000002,35309.17258017,29615.10597125,2021-02-12,119428.7,5.3779,13807.7,3934.83,217.636
13,2021-02-05,82377.04,0.18,147.9219358,33264.12440165,28848.70636517,2021-02-05,120240.3,5.3778,13603.96,3886.83,604.137
14,2021-01-29,78922.76,-1.8,177.7264454,32340.52059865,31537.7733634,2021-01-29,115067.6,5.4715,12925.38,3714.24,-43216.944
15,2021-01-22,79325.78,-0.9,223.695526,31156.60089031,34855.76115056,2021-01-22,117380.5,5.4705,13366.4,3841.47,521.226
16,2021-01-15,83433.82,-0.3,361.7327652,28924.77415976,27786.23392728,2021-01-15,120348.8,5.2992,12803.93,3768.25,64.96
17,2021-01-08,82376.05,3.52,281.4843702,27497.14530634,26858.8358393,2021-01-08,125076.6,5.4205,13105.2,3824.68,572.867
18,2020-12-18,80792.72,-0.2,262.8347432,23402.34261848,21252.69830309,2020-12-18,118023.7,5.0838,12738.18,3709.41,1083.991
19,2020-12-11,80370.24,2.35,212.1959592,23522.13631774,18475.14427875,2020-12-11,115128.0,5.061,12375.41,3663.46,110.56
20,2020-12-04,78208.45,-0.3,744.4151113999999,23675.65415898,11990.20743071,2020-12-04,113750.2,5.1298,12528.48,3699.12,51.634
21,2020-11-27,77637.53,0.02,544.2224594,25905.39882792,12595.5263011,2020-11-27,110575.5,5.3369,12258.21,3638.35,-157.179
22,2020-11-20,75619.5,-1.2,436.2426167,27456.84173121,13618.48555551,2020-11-20,106042.5,5.3892,11906.44,3557.54,9.183
23,2020-11-13,76171.73,2.42,556.6900787,28654.71961635,10424.44543859,2020-11-13,104723.0,5.4625,11937.84,3585.15,57.803
24,2020-11-06,76189.2,0.96,331.02068749999995,30957.53037997,10932.29924439,2020-11-06,100925.1,5.3775,12091.35,3509.44,238.737
25,2020-10-30,69951.35,-1.5,293.76126550000004,32458.26711342,10292.00896747,2020-10-30,93952.4,5.7444,11052.95,3269.96,264.307
26,2020-10-23,72466.15,0.06,301.266675,34659.02412622,7738.26062793,2020-10-23,101259.8,5.6196,11692.57,3465.39,171.958
27,2020-10-16,70921.52,0.21,263.5814654,37150.65032976,7345.24270126,2020-10-16,98309.1,5.646,11852.17,3483.81,222.102
28,2020-10-09,69629.0,0.2,245.1380125,39938.34709033,6922.81934381,2020-10-09,97483.3,5.5322,11725.85,3477.13,179.149
29,2020-10-02,68242.22,-0.7,167.10941760000003,43439.22447433,7454.370370750001,2020-10-02,94015.7,5.6845,11255.69,3348.44,488.66
