ena_data,ena
2005-07-29,13727.991170000001
2005-07-30,13456.322900000001
2005-07-31,13260.518590000001
2005-08-01,12924.75912
2005-08-02,12570.48242
2005-08-03,12306.79285
2005-08-04,12009.125250000001
2005-08-05,11432.94464
2005-08-06,11114.7311
2005-08-07,10821.5098
2005-08-08,10638.71169
2005-08-09,10468.73542
2005-08-10,10586.18536
2005-08-11,10820.10039
2005-08-12,10851.60301
2005-08-13,10684.72141
2005-08-14,10697.00605
2005-08-15,10377.44481
2005-08-16,10285.76589
2005-08-17,10222.42702
2005-08-18,10281.57523
2005-08-19,10177.34339
2005-08-20,10257.8311
2005-08-21,10376.11908
2005-08-22,10191.60521
2005-08-23,9985.62382
2005-08-24,9884.95187
2005-08-25,9843.80328
2005-08-26,9791.22256
2005-08-27,9716.25304
2005-08-28,9696.52377
2005-08-29,9693.296680000001
2005-08-30,9766.17281
2005-08-31,10781.22264
2005-09-01,11804.160530000001
2005-09-02,12872.47975
2005-09-03,12719.23796
2005-09-04,12431.59679
2005-09-05,12713.30645
2005-09-06,13490.78821
2005-09-07,13564.78389
2005-09-08,13285.98892
2005-09-09,12480.08888
2005-09-10,11563.45237
2005-09-11,11724.64737
2005-09-12,11691.41961
2005-09-13,12364.083069999999
2005-09-14,11740.75581
2005-09-15,12680.47693
2005-09-16,13043.959209999999
2005-09-17,13936.659450000001
2005-09-18,13561.5929
2005-09-19,13947.469280000001
2005-09-20,14452.96529
2005-09-21,14076.33776
2005-09-22,13756.12577
2005-09-23,13439.10719
2005-09-24,13804.028970000001
2005-09-25,13798.159050000002
2005-09-26,14578.50545
2005-09-27,15240.9061
2005-09-28,15091.69099
2005-09-29,13952.85244
2005-09-30,13761.634810000001
2005-10-01,12139.20925
2005-10-02,11380.787260000001
2005-10-03,13243.24687
2005-10-04,13197.90224
2005-10-05,8506.09531
2005-10-06,11842.35207
2005-10-07,13121.42696
2005-10-08,13498.55241
2005-10-09,11323.61643
2005-10-10,15418.71077
2005-10-11,14633.47106
2005-10-12,12395.87932
2005-10-13,11401.826500000001
2005-10-14,12385.37066
2005-10-15,11329.370990000001
2005-10-16,10095.7412
2005-10-17,10458.81317
2005-10-18,14859.32092
2005-10-19,15292.303590000001
2005-10-20,13510.428640000002
2005-10-21,12184.86849
2005-10-22,11723.93891
2005-10-23,11061.08918
2005-10-24,12819.21156
2005-10-25,13867.309780000001
2005-10-26,14010.87765
2005-10-27,13254.346000000001
2005-10-28,12584.136680000001
2005-10-29,12101.87933
2005-10-30,14044.85424
2005-10-31,16101.37866
2005-11-01,16115.37871
2005-11-02,15471.881660000001
2005-11-03,15568.03793
2005-11-04,15540.41948
2005-11-05,15291.71888
2005-11-06,14719.03721
2005-11-07,15837.81654
2005-11-08,16705.37748
2005-11-09,16559.72729
2005-11-10,15501.49605
2005-11-11,14535.56454
2005-11-12,14338.964590000001
2005-11-13,12964.346090000001
2005-11-14,13839.238200000002
2005-11-15,13847.7927
2005-11-16,14455.95169
2005-11-17,14350.43788
2005-11-18,14279.56761
2005-11-19,14849.12273
2005-11-20,15063.51
2005-11-21,15470.694800000001
2005-11-22,15675.152450000001
2005-11-23,15779.68316
2005-11-24,16183.889130000001
2005-11-25,17009.037800000002
2005-11-26,18997.363520000003
2005-11-27,20080.69915
2005-11-28,21361.82587
2005-11-29,22437.44548
2005-11-30,23489.43428
2005-12-01,24174.30189
2005-12-02,25576.02928
2005-12-03,26587.10395
2005-12-04,27699.22616
2005-12-05,28386.824200000003
2005-12-06,29495.27288
2005-12-07,31939.47824
2005-12-08,31855.317010000002
2005-12-09,31743.75926
2005-12-10,31939.22441
2005-12-11,31449.375330000003
2005-12-12,34804.805479999995
2005-12-13,37346.13658
2005-12-14,37787.64647
2005-12-15,36302.33234
2005-12-16,35190.49389
2005-12-17,33591.1814
2005-12-18,32633.14835
2005-12-19,32096.95858
2005-12-20,30723.50733
2005-12-21,29567.9387
2005-12-22,28411.65338
2005-12-23,26733.45534
2005-12-24,25384.3444
2005-12-25,23830.62749
2005-12-26,24174.24576
2005-12-27,24386.06503
2005-12-28,24794.14355
2005-12-29,24561.72263
2005-12-30,24544.56
2005-12-31,23754.34722
2006-01-01,23595.496450000002
2006-01-02,26188.15232
2006-01-03,28802.77262
2006-01-04,31033.21582
2006-01-05,34098.3393
2006-01-06,35189.97269
2006-01-07,34122.91349
2006-01-08,34035.67358
2006-01-09,35784.770430000004
2006-01-10,35832.81222
2006-01-11,34457.46059
2006-01-12,34581.791769999996
2006-01-13,33391.36597
2006-01-14,30865.63763
2006-01-15,27914.04464
2006-01-16,27464.78311
2006-01-17,26799.88715
2006-01-18,25280.88524
2006-01-19,23588.6168
2006-01-20,22468.53766
2006-01-21,21929.54013
2006-01-22,20818.30402
2006-01-23,20646.25634
2006-01-24,20214.53242
2006-01-25,19957.92531
2006-01-26,19568.542
2006-01-27,19266.44139
2006-01-28,19430.978300000002
2006-01-29,19735.0724
2006-01-30,21356.67528
2006-01-31,22711.559670000002
2006-02-01,23195.95626
2006-02-02,23554.63101
2006-02-03,23411.58441
2006-02-04,23164.38281
2006-02-05,22651.70403
2006-02-06,22809.16185
2006-02-07,22670.32717
2006-02-08,22694.028720000002
2006-02-09,23200.90651
2006-02-10,24494.670860000002
2006-02-11,25895.6886
2006-02-12,27316.13145
2006-02-13,28445.65051
2006-02-14,29485.73122
2006-02-15,30323.71643
2006-02-16,31099.05745
2006-02-17,31688.22448
2006-02-18,32207.80458
2006-02-19,32337.909340000002
2006-02-20,32716.42752
2006-02-21,32860.587
2006-02-22,32338.08514
2006-02-23,32108.25983
2006-02-24,31621.10614
2006-02-25,30640.76236
2006-02-26,28719.30771
2006-02-27,28428.12875
2006-02-28,29000.87047
2006-03-01,28799.554470000003
2006-03-02,28889.1482
2006-03-03,28854.73686
2006-03-04,28107.7715
2006-03-05,27243.22072
2006-03-06,28834.42701
2006-03-07,29663.64582
2006-03-08,29639.17806
2006-03-09,28310.592490000003
2006-03-10,27191.478890000002
2006-03-11,25853.77242
2006-03-12,25739.13524
2006-03-13,26672.352600000002
2006-03-14,27747.48981
2006-03-15,28158.25637
2006-03-16,28338.06821
2006-03-17,29228.4136
2006-03-18,28935.29842
2006-03-19,27439.679930000002
2006-03-20,29182.3851
2006-03-21,29026.628650000002
2006-03-22,27788.47149
2006-03-23,27708.77117
2006-03-24,28070.40388
2006-03-25,28474.09159
2006-03-26,28716.02297
2006-03-27,30191.14477
2006-03-28,31880.13566
2006-03-29,33081.07208
2006-03-30,33284.29557
2006-03-31,31166.14974
2006-04-01,29289.907310000002
2006-04-02,28424.61861
2006-04-03,30042.767720000003
2006-04-04,29991.14399
2006-04-05,30029.1435
2006-04-06,30054.83818
2006-04-07,30272.50787
2006-04-08,29528.804750000003
2006-04-09,29226.48446
2006-04-10,29599.73308
2006-04-11,29637.20032
2006-04-12,29535.31583
2006-04-13,27660.25758
2006-04-14,25864.89246
2006-04-15,23710.66863
2006-04-16,24215.54636
2006-04-17,26995.567310000002
2006-04-18,27186.34338
2006-04-19,25528.00353
2006-04-20,23922.18891
2006-04-21,21964.55828
2006-04-22,21876.73679
2006-04-23,21421.60915
2006-04-24,22246.66526
2006-04-25,21793.86504
2006-04-26,21782.57474
2006-04-27,21528.65086
2006-04-28,20699.21823
2006-04-29,19771.50418
2006-04-30,18548.04406
2006-05-01,18606.22073
2006-05-02,18442.39375
2006-05-03,18013.36586
2006-05-04,18235.94316
2006-05-05,18432.06751
2006-05-06,18215.88009
