nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;589.0;0.0;4392.0;0.0;13.41
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;1722.0;0.0;2703.0;0.0;63.71
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2008-01-01;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2008-01-01;1778.0;0.0;2637.0;0.0;67.43
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;1406.0;0.0;2433.0;0.0;57.81
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2008-01-01;88.0;0.0;264.0;0.0;33.31
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;8.0;0.0;21.0;0.0;37.12
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;353.0;0.0;849.0;0.0;41.6
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;0.0;0.0;0.0;0.0;0.0
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;533.0;0.0;1560.0;0.0;34.14
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2008-01-01;131.0;0.0;205.0;0.0;64.01
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;1725.0;0.0;3954.0;0.0;43.62
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;1925.0;0.0;3444.0;0.0;55.88
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;497.0;0.0;1523.0;0.0;32.64
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;0.0;0.0;0.0;0.0;0.0
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;293.0;0.0;1321.0;0.0;22.2
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2008-01-01;7.0;0.0;22.0;0.0;30.1
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;8333.0;0.0;21605.0;0.0;38.57
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2008-01-01;147.0;0.0;212.0;0.0;69.48
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;55.0;0.0;114.0;0.0;48.43
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2008-01-01;301.0;0.0;794.0;0.0;37.88
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;19696.0;0.0;34926.0;0.0;56.39
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2008-01-01;4488.0;0.0;6095.0;0.0;73.64
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;S;SUL;2008-01-01;237.0;0.0;385.0;0.0;61.52
GARIBALDI;89;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2008-01-01;0.0;0.0;0.0;0.0;0.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2008-01-01;231.0;0.0;407.0;0.0;56.85
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;2790.0;0.0;6059.0;0.0;46.05
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;NE;NORDESTE;2008-01-01;1258.0;656.0;2015.0;1009.0;62.41
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2008-01-01;819.0;0.0;3434.0;0.0;23.84
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;6590.0;0.0;15698.0;0.0;41.98
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2008-01-01;547.0;0.0;1184.0;0.0;46.19
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;S;SUL;2008-01-01;11.0;0.0;20.0;0.0;56.56
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2008-01-01;1899.0;0.0;4199.0;0.0;45.23
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2008-01-01;322.0;0.0;482.0;0.0;66.91
