nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;840.0;0.0;4392.0;0.0;19.13
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;1396.0;0.0;2703.0;0.0;51.63
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2009-01-01;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2009-01-01;1862.0;0.0;2637.0;0.0;70.61
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;1790.0;0.0;2433.0;0.0;73.56
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2009-01-01;100.0;0.0;264.0;0.0;37.88
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;4.0;0.0;21.0;0.0;17.76
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;408.0;0.0;849.0;0.0;48.06
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;0.0;0.0;0.0;0.0;0.0
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;905.0;0.0;1560.0;0.0;58.05
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2009-01-01;116.0;0.0;205.0;0.0;56.83
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;2709.0;0.0;3954.0;0.0;68.52
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;2225.0;0.0;3444.0;0.0;64.58
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;958.0;0.0;1523.0;0.0;62.89
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;0.0;0.0;0.0;0.0;0.0
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;179.0;0.0;1321.0;0.0;13.58
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2009-01-01;20.0;0.0;22.0;0.0;88.5
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;10434.0;0.0;21605.0;0.0;48.29
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2009-01-01;85.0;0.0;212.0;0.0;40.25
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2009-01-01;0.0;0.0;114.0;0.0;0.0
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2009-01-01;419.0;0.0;794.0;0.0;52.83
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2009-01-01;29209.0;0.0;34926.0;0.0;83.63
