nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;1756.0;0.0;4392.0;0.0;39.98
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;2113.0;0.0;2703.0;0.0;78.19
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;23.0;0.0;;;23.9
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2014-01-01;347.0;0.0;773.0;0.0;44.86
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2014-01-01;1414.0;0.0;3019.0;0.0;46.82
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;1651.0;0.0;2433.0;0.0;67.88
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2014-01-01;113.0;0.0;264.0;0.0;42.74
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;7.0;0.0;21.0;0.0;31.56
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;448.0;0.0;849.0;0.0;52.75
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;8.0;0.0;31.0;0.0;24.89
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;388.0;0.0;1560.0;0.0;24.88
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2014-01-01;110.0;0.0;232.0;0.0;47.15
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;3071.0;0.0;3954.0;0.0;77.68
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;1833.0;0.0;3444.0;0.0;53.22
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;1270.0;0.0;1523.0;0.0;83.38
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;120.0;0.0;425.0;0.0;28.23
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;213.0;0.0;1426.0;0.0;14.94
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2014-01-01;22.0;0.0;22.0;0.0;96.7
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;7781.0;0.0;21605.0;0.0;36.02
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2014-01-01;196.0;0.0;212.0;0.0;92.66
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2014-01-01;33.0;0.0;114.0;0.0;28.68
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2014-01-01;380.0;0.0;794.0;0.0;47.83
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2014-01-01;16981.0;0.0;34926.0;0.0;48.62
