nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;707.0;0.0;4392.0;0.0;16.1
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1848.0;0.0;2703.0;0.0;68.38
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;17.0;0.0;;;42.79
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2013-01-01;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;1099.0;0.0;3019.0;0.0;36.39
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1519.0;0.0;2433.0;0.0;62.42
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2013-01-01;169.0;0.0;264.0;0.0;64.18
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;10.0;0.0;21.0;0.0;47.63
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;321.0;0.0;849.0;0.0;37.82
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;12.0;0.0;31.0;0.0;37.59
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;468.0;0.0;1560.0;0.0;29.98
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;189.0;0.0;232.0;0.0;81.49
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1133.0;0.0;3954.0;0.0;28.64
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;931.0;0.0;3444.0;0.0;27.03
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;361.0;0.0;1523.0;0.0;23.74
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;108.0;0.0;425.0;0.0;25.41
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;292.0;0.0;1426.0;0.0;20.47
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2013-01-01;20.0;0.0;22.0;0.0;90.06
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;7037.0;0.0;21605.0;0.0;32.57
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2013-01-01;173.0;0.0;212.0;0.0;81.76
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;19.0;0.0;114.0;0.0;16.86
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-01;370.0;0.0;794.0;0.0;46.57
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;4196.0;0.0;34926.0;0.0;12.01
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-01;1179.0;0.0;6095.0;0.0;19.35
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;S;SUL;2013-01-01;185.0;0.0;385.0;0.0;48.0
GARIBALDI;89;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;0.0;0.0;0.0;0.0;0.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;257.0;0.0;407.0;0.0;63.15
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;2965.0;0.0;6059.0;0.0;48.94
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;NE;NORDESTE;2013-01-01;907.0;484.0;2015.0;1009.0;45.01
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2013-01-01;1409.0;0.0;3434.0;0.0;41.03
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1519.0;0.0;15698.0;0.0;9.68
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-01;552.0;0.0;1184.0;0.0;46.6
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;S;SUL;2013-01-01;16.0;0.0;20.0;0.0;78.03
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1236.0;0.0;4199.0;0.0;29.42
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-01;331.0;0.0;482.0;0.0;68.71
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;3146.0;0.0;4361.0;0.0;72.13
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;146.0;0.0;914.0;0.0;15.99
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;SE;SUDESTE;2013-01-01;229.0;0.0;563.0;0.0;40.62
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;860.0;0.0;5402.0;0.0;15.92
MAUA;57;Reservatório com Usina;PARANAPANEMA;;S;SUL;SE;SUDESTE;2013-01-01;140.0;245.0;261.0;459.0;53.65
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;162.0;0.0;268.0;0.0;60.58
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;6219.0;0.0;22782.0;0.0;27.3
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1590.0;0.0;4459.0;0.0;35.66
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;1012.0;0.0;1728.0;0.0;58.52
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;S;SUL;2013-01-01;2243.0;0.0;2985.0;0.0;75.14
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;NE;NORDESTE;2013-01-01;58.0;0.0;304.0;0.0;19.16
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;N;NORTE;2013-01-01;73.0;83.0;113.0;144.0;64.84
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;9.0;0.0;13.0;0.0;71.97
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-01;878.0;0.0;1811.0;0.0;48.47
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-01;9.0;0.0;10.0;0.0;86.23
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-01;83.0;149.0;277.0;486.0;30.08
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-01;0.0;1.0;11.0;43.0;2.13
RONDON II;276;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2013-01-01;22.0;0.0;58.0;0.0;38.31
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1832.0;0.0;6502.0;0.0;28.18
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-01;538.0;0.0;3300.0;0.0;16.31
SAMUEL;279;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2013-01-01;0.0;0.0;232.0;0.0;-1.39
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-01;257.0;0.0;442.0;0.0;58.06
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-01;325.0;0.0;371.0;0.0;87.64
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-01;1377.0;0.0;5028.0;0.0;27.38
SEGREDO;76;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-01;301.0;0.0;461.0;0.0;65.24
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;N;NORTE;2013-01-01;13192.0;4144.0;35288.0;6470.0;37.38
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2013-01-01;8116.0;0.0;30184.0;0.0;26.89
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-01;766.0;6136.0;2315.0;16085.0;33.08
TUCURUI;275;Reservatório com Usina;TOCANTINS;;N;NORTE;N;NORTE;2013-01-01;1665.0;0.0;7632.0;0.0;21.82
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;743.0;0.0;4392.0;0.0;16.92
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1873.0;0.0;2703.0;0.0;69.29
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;17.0;0.0;;;42.79
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2013-01-02;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;1115.0;0.0;3019.0;0.0;36.94
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1523.0;0.0;2433.0;0.0;62.59
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2013-01-02;167.0;0.0;264.0;0.0;63.43
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;8.0;0.0;21.0;0.0;40.8
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;325.0;0.0;849.0;0.0;38.29
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;15.0;0.0;31.0;0.0;48.46
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;466.0;0.0;1560.0;0.0;29.86
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;193.0;0.0;232.0;0.0;82.9
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1147.0;0.0;3954.0;0.0;29.0
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;931.0;0.0;3444.0;0.0;27.03
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;371.0;0.0;1523.0;0.0;24.34
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;111.0;0.0;425.0;0.0;26.08
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;289.0;0.0;1426.0;0.0;20.29
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2013-01-02;20.0;0.0;22.0;0.0;90.06
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;6948.0;0.0;21605.0;0.0;32.16
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2013-01-02;174.0;0.0;212.0;0.0;82.02
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;20.0;0.0;114.0;0.0;17.2
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-02;378.0;0.0;794.0;0.0;47.63
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;4196.0;0.0;34926.0;0.0;12.02
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-02;1279.0;0.0;6095.0;0.0;20.99
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;S;SUL;2013-01-02;188.0;0.0;385.0;0.0;48.83
GARIBALDI;89;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;0.0;0.0;0.0;0.0;0.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;259.0;0.0;407.0;0.0;63.66
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;2902.0;0.0;6059.0;0.0;47.89
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;NE;NORDESTE;2013-01-02;906.0;484.0;2015.0;1009.0;44.96
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2013-01-02;1375.0;0.0;3434.0;0.0;40.04
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1465.0;0.0;15698.0;0.0;9.33
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-02;554.0;0.0;1184.0;0.0;46.78
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;S;SUL;2013-01-02;18.0;0.0;20.0;0.0;88.36
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1250.0;0.0;4199.0;0.0;29.76
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-02;333.0;0.0;482.0;0.0;69.22
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;3111.0;0.0;4361.0;0.0;71.34
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;158.0;0.0;914.0;0.0;17.25
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;SE;SUDESTE;2013-01-02;228.0;0.0;563.0;0.0;40.51
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;908.0;0.0;5402.0;0.0;16.8
MAUA;57;Reservatório com Usina;PARANAPANEMA;;S;SUL;SE;SUDESTE;2013-01-02;147.0;257.0;261.0;459.0;56.28
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;166.0;0.0;268.0;0.0;61.87
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;6170.0;0.0;22782.0;0.0;27.08
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1606.0;0.0;4459.0;0.0;36.01
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;1007.0;0.0;1728.0;0.0;58.26
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;S;SUL;2013-01-02;2254.0;0.0;2985.0;0.0;75.5
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;NE;NORDESTE;2013-01-02;58.0;0.0;304.0;0.0;19.16
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;N;NORTE;2013-01-02;71.0;81.0;113.0;144.0;62.78
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;9.0;0.0;13.0;0.0;72.43
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-02;869.0;0.0;1811.0;0.0;48.0
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-02;9.0;0.0;10.0;0.0;89.22
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-02;83.0;148.0;277.0;486.0;29.97
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-02;1.0;2.0;11.0;43.0;4.68
RONDON II;276;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2013-01-02;22.0;0.0;58.0;0.0;37.91
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1822.0;0.0;6502.0;0.0;28.03
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-02;547.0;0.0;3300.0;0.0;16.58
SAMUEL;279;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2013-01-02;0.0;0.0;232.0;0.0;-0.95
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2013-01-02;258.0;0.0;442.0;0.0;58.35
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-02;330.0;0.0;371.0;0.0;88.84
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-02;1352.0;0.0;5028.0;0.0;26.88
SEGREDO;76;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2013-01-02;306.0;0.0;461.0;0.0;66.43
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;N;NORTE;2013-01-02;13135.0;4128.0;35288.0;6470.0;37.22
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2013-01-02;8139.0;0.0;30184.0;0.0;26.97
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2013-01-02;760.0;6093.0;2315.0;16085.0;32.82
TUCURUI;275;Reservatório com Usina;TOCANTINS;;N;NORTE;N;NORTE;2013-01-02;1671.0;0.0;7632.0;0.0;21.89
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-03;758.0;0.0;4392.0;0.0;17.26
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-03;1873.0;0.0;2703.0;0.0;69.29
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-03;17.0;0.0;;;42.29
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2013-01-03;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-03;1116.0;0.0;3019.0;0.0;36.96
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-03;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2013-01-03;1533.0;0.0;2433.0;0.0;63.01
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2013-01-03;166.0;0.0;264.0;0.0;62.74
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-03;8.0;0.0;21.0;0.0;36.67
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-03;328.0;0.0;849.0;0.0;38.67
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2013-01-03;18.0;0.0;31.0;0.0;56.46
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2013-01-03;464.0;0.0;1560.0;0.0;29.74
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2013-01-03;191.0;0.0;232.0;0.0;82.14
