nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;1064.0;0.0;4392.0;0.0;24.24
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;1520.0;0.0;2703.0;0.0;56.25
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;26.0;0.0;;;60.03
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2015-01-01;273.0;0.0;773.0;0.0;35.35
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2015-01-01;1716.0;0.0;3019.0;0.0;56.84
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;947.0;0.0;2718.0;0.0;34.85
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;1353.0;0.0;2433.0;0.0;55.61
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2015-01-01;56.0;0.0;264.0;0.0;21.29
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;6.0;0.0;21.0;0.0;29.96
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;229.0;0.0;849.0;0.0;26.97
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;23.0;0.0;31.0;0.0;73.88
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;338.0;0.0;1560.0;0.0;21.69
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2015-01-01;208.0;0.0;232.0;0.0;89.36
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;925.0;0.0;3954.0;0.0;23.41
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;662.0;0.0;3444.0;0.0;19.23
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;683.0;0.0;1523.0;0.0;44.83
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;167.0;0.0;425.0;0.0;39.25
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;98.0;0.0;1426.0;0.0;6.85
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2015-01-01;22.0;0.0;22.0;0.0;98.35
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;3303.0;0.0;21605.0;0.0;15.29
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2015-01-01;232.0;0.0;212.0;0.0;109.47
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2015-01-01;108.0;0.0;114.0;0.0;95.0
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2015-01-01;97.0;0.0;794.0;0.0;12.2
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;4397.0;0.0;34926.0;0.0;12.59
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2015-01-01;3205.0;0.0;6095.0;0.0;52.58
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;S;SUL;2015-01-01;143.0;0.0;385.0;0.0;37.07
GARIBALDI;89;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2015-01-01;124.0;0.0;104.0;0.0;119.6
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2015-01-01;189.0;0.0;407.0;0.0;46.42
