nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2126.0;0.0;4392.0;0.0;48.41
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;1333.0;0.0;2703.0;0.0;49.33
B.COQUEIROS;312;Fio dagua;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;11.0;0.0;;;28.13
BALBINA;277;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2012-01-01;0.0;0.0;0.0;0.0;0.0
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;952.0;0.0;3019.0;0.0;31.53
BATALHA;20;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;0.0;0.0;0.0;0.0;0.0
BILLINGS;118;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;1583.0;0.0;2433.0;0.0;65.08
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;NE;NORDESTE;2012-01-01;90.0;0.0;264.0;0.0;34.22
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2.0;0.0;21.0;0.0;10.96
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;515.0;0.0;849.0;0.0;60.72
CACU;311;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;8.0;0.0;31.0;0.0;25.87
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;832.0;0.0;1560.0;0.0;53.37
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;90.0;0.0;232.0;0.0;38.57
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2987.0;0.0;3954.0;0.0;75.55
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2099.0;0.0;3444.0;0.0;60.94
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;1185.0;0.0;1523.0;0.0;77.82
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;24.0;0.0;425.0;0.0;5.62
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;226.0;0.0;1426.0;0.0;15.88
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;N;NORTE;2012-01-01;20.0;0.0;22.0;0.0;87.44
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;13410.0;0.0;21605.0;0.0;62.07
ERNESTINA;110;Reservatório sem usina;JACUI;;S;SUL;S;SUL;2012-01-01;55.0;0.0;212.0;0.0;25.99
ESPORA;290;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;24.0;0.0;114.0;0.0;20.95
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2012-01-01;310.0;0.0;794.0;0.0;39.05
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;24891.0;0.0;34926.0;0.0;71.27
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2012-01-01;3353.0;0.0;6095.0;0.0;55.01
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;S;SUL;2012-01-01;303.0;0.0;385.0;0.0;78.7
GARIBALDI;89;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;0.0;0.0;0.0;0.0;0.0
GUARAPIRANGA;117;Reservatório sem usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;248.0;0.0;407.0;0.0;61.02
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;3476.0;0.0;6059.0;0.0;57.37
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;;SE;SUDESTE;NE;NORDESTE;2012-01-01;1711.0;869.0;2015.0;1009.0;84.89
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;NE;NORDESTE;2012-01-01;1920.0;0.0;3434.0;0.0;55.91
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;5642.0;0.0;15698.0;0.0;35.94
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2012-01-01;988.0;0.0;1184.0;0.0;83.46
JORDÃO;73;Reservatório sem usina;IGUACU;;S;SUL;S;SUL;2012-01-01;10.0;0.0;20.0;0.0;47.59
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2760.0;0.0;4199.0;0.0;65.72
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2012-01-01;323.0;0.0;482.0;0.0;67.01
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;3543.0;0.0;4361.0;0.0;81.26
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;258.0;0.0;914.0;0.0;28.21
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;SE;SUDESTE;2012-01-01;249.0;0.0;563.0;0.0;44.27
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;1812.0;0.0;5402.0;0.0;33.55
MAUA;57;Reservatório com Usina;PARANAPANEMA;;S;SUL;SE;SUDESTE;2012-01-01;0.0;0.0;0.0;0.0;0.0
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;191.0;0.0;268.0;0.0;71.4
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;13861.0;0.0;22782.0;0.0;60.84
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2012-01-01;2949.0;0.0;4459.0;0.0;66.14
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;1203.0;0.0;1728.0;0.0;69.62
PASSO REAL;111;Reservatório com Usina;JACUI;;S;SUL;S;SUL;2012-01-01;2099.0;0.0;2985.0;0.0;70.3
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;;NE;NORDESTE;NE;NORDESTE;2012-01-01;104.0;0.0;304.0;0.0;34.14
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;N;NORTE;2012-01-01;89.0;71.0;113.0;103.0;78.43
PORTO ESTRELA;135;Reservatório com Usina;DOCE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;12.0;0.0;13.0;0.0;94.23
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;SE;SUDESTE;2012-01-01;642.0;0.0;1811.0;0.0;35.44
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;S;SUL;2012-01-01;10.0;0.0;10.0;0.0;94.6
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2012-01-01;177.0;312.0;277.0;486.0;64.0
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;NE;NORDESTE;2012-01-01;11.0;43.0;11.0;43.0;99.01
RONDON II;276;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2012-01-01;28.0;0.0;58.0;0.0;48.06
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;5344.0;0.0;6502.0;0.0;82.19
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2012-01-01;2329.0;0.0;3300.0;0.0;70.58
SAMUEL;279;Reservatório com Usina;AMAZONAS;;SE;SUDESTE;SE;SUDESTE;2012-01-01;16.0;0.0;232.0;0.0;6.77
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;SE;SUDESTE;2012-01-01;323.0;0.0;442.0;0.0;72.98
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;;S;SUL;S;SUL;2012-01-01;187.0;0.0;371.0;0.0;50.29
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;SE;SUDESTE;2012-01-01;3718.0;0.0;5028.0;0.0;73.95
