nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;519.873;;4340.282;;11.9779
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2022-01-01;1402.052;;2713.786;;51.6641
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2022-01-01;401.803;;785.737;;51.1371
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;1198.591;;2991.427;;40.0675
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;1214.381;;2751.514;;44.135
BILLINGS;118;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2022-01-01;1584.561;;2444.556;;64.82
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2022-01-01;207.486;;264.178;;78.5402
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;3.098;;20.753;;14.928
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;435.309;;853.4;;51.0088
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;30.127;;30.877;;97.571
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;634.666;;1566.693;;40.5099
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;101.936;;227.826;;44.7429
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2022-01-01;1198.988;;3889.672;;30.8249
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2022-01-01;1334.064;;3370.499;;39.5806
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;969.605;;1531.054;;63.3292
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;217.537;;425.126;;51.17
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;675.588;;1415.959;;47.7124
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2022-01-01;27.564;;28.109;;98.0611
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;4132.003;;21873.496;;18.8905
ERNESTINA;110;Reservatório sem usina;JACUI;SUL;S;SUL;;;2022-01-01;121.698;;200.552;;60.6815
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;67.133;;112.927;;59.4481
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2022-01-01;435.952;;813.622;;53.5816
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;10028.152;;34989.943;;28.6601
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2022-01-01;2629.949;;5880.363;;44.7243
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2022-01-01;188.027;;374.956;;50.1464
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;44.374;;101.775;;43.6001
GUARAPIRANGA;117;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2022-01-01;262.206;;408.675;;64.16
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2022-01-01;0.0;;3691.575;;0.0
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2022-01-01;1033.188;557.917;1962.895;1004.893;52.6359
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2022-01-01;2038.6;;3418.033;;59.6425
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;4268.774;;15706.409;;27.1785
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2022-01-01;346.773;;1213.775;;28.5698
JORDÃO;73;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2022-01-01;3.721;;20.306;;18.3246
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2022-01-01;818.549;;4121.37;;19.8611
LAJES;124;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2022-01-01;461.887;;512.183;;90.1801
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;1355.623;;4332.942;;31.2864
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;337.405;;890.994;;37.8684
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2022-01-01;170.421;;555.798;;30.6624
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2022-01-01;557.866;;5393.697;;10.3429
MAUA;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2022-01-01;97.578;168.66;261.737;451.213;37.2809
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;155.789;;269.778;;57.7471
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;3458.055;;22766.333;;15.1893
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2022-01-01;881.474;;4561.222;;19.3254
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;771.759;;1706.162;;45.2336
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;;;2022-01-01;1180.817;;2828.801;;41.7427
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2022-01-01;345.283;;335.383;;102.9518
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2022-01-01;93.362;114.999;114.392;147.034;81.6158
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2022-01-01;12.438;;12.899;;96.4261
PROMISSÃO;40;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2022-01-01;564.521;;1829.65;;30.854
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2022-01-01;5.32;;10.163;;52.3467
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2022-01-01;160.278;276.085;283.402;484.803;56.555
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2022-01-01;8.86;35.041;11.43;42.91;77.5153
RONDON II;276;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2022-01-01;20.524;;56.442;;36.363
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;683.994;;6581.918;;10.392
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2022-01-01;1365.555;;3340.803;;40.8751
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2022-01-01;28.506;;257.288;;11.0794
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2022-01-01;94.625;;454.095;;20.8382
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2022-01-01;228.43;;373.966;;61.0831
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2022-01-01;752.038;;5014.801;;14.9964
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2022-01-01;142.017;;447.497;;31.7359
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2022-01-01;10696.321;3722.124;35277.664;6620.419;30.3204
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;;;2022-01-01;559.194;;900.655;;62.0875
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2022-01-01;15576.386;;30100.282;;51.7483
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2022-01-01;0.0;;2328.579;;0.0
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2022-01-01;1126.618;8545.002;2345.606;16040.745;48.031
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;;;2022-01-01;4567.08;;7721.097;;59.1507
