ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2011;7;1;2/7/2011;8/7/2011;27,77;27,77;27,77;27,77
2011;7;2;9/7/2011;15/7/2011;23,14;23,14;23,14;23,14
2011;7;3;16/7/2011;22/7/2011;20,97;20,97;20,97;20,97
2011;7;4;23/7/2011;29/7/2011;19,29;19,29;19,51;19,5
2011;7;5;30/7/2011;5/8/2011;23,55;18,85;23,55;23,55
2011;8;6;6/8/2011;12/8/2011;16,17;12,6;16,17;16,17
2011;8;7;13/8/2011;19/8/2011;17,88;15,97;17,88;17,88
2011;8;8;20/8/2011;26/8/2011;24,11;19,3;24,11;24,11
2011;8;9;27/8/2011;2/9/2011;16,54;12,08;16,61;16,61
2011;9;10;3/9/2011;9/9/2011;17,2;12,08;17,2;17,2
2011;9;11;10/9/2011;16/9/2011;20,78;17,28;20,78;20,78
2011;9;12;17/9/2011;23/9/2011;23,56;19,66;23,56;23,56
2011;9;13;24/9/2011;30/9/2011;24,47;20,28;24,47;24,47
2011;10;14;1/10/2011;7/10/2011;42,97;42,81;42,97;42,97
2011;10;15;8/10/2011;14/10/2011;43,13;42,88;43,13;43,13
2011;10;16;15/10/2011;21/10/2011;38,43;38,43;38,45;38,43
2011;10;17;22/10/2011;28/10/2011;23,59;23,59;23,59;23,59
2011;10;18;29/10/2011;4/11/2011;38,21;38,21;38,21;38,21
2011;11;19;5/11/2011;11/11/2011;43,63;43,63;43,63;43,63
2011;11;20;12/11/2011;18/11/2011;39,47;39,47;39,47;39,47
2011;11;21;19/11/2011;25/11/2011;44,9;44,9;44,9;44,9
2011;11;22;26/11/2011;2/12/2011;63,59;63,59;63,59;63,59
2011;12;23;3/12/2011;9/12/2011;51,44;51,44;51,44;51,44
2011;12;24;10/12/2011;16/12/2011;35,12;35,12;28,8;28,8
2011;12;25;17/12/2011;23/12/2011;45,22;45,22;35,04;35,04
2011;12;26;24/12/2011;30/12/2011;40,23;40,23;29,63;29,63
2011;12;27;31/12/2011;6/1/2012;46,71;46,71;16,01;16,01
