ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2014;12;1;27/12/2014;2/1/2015;388,48;388,48;388,48;388,48
2015;1;2;3/1/2015;9/1/2015;388,48;388,48;388,48;388,48
2015;1;3;10/1/2015;16/1/2015;388,48;388,48;388,48;388,48
2015;1;4;17/1/2015;23/1/2015;388,48;388,48;388,48;388,48
2015;1;5;24/1/2015;30/1/2015;388,48;388,48;388,48;388,48
2015;1;6;31/1/2015;6/2/2015;388,48;388,48;388,48;388,48
2015;2;7;7/2/2015;13/2/2015;388,48;388,48;388,48;388,48
2015;2;8;14/2/2015;20/2/2015;388,48;388,48;388,48;388,48
2015;2;9;21/2/2015;27/2/2015;388,48;388,48;388,48;388,48
2015;2;10;28/2/2015;6/3/2015;388,48;388,48;388,48;388,48
2015;3;11;7/3/2015;13/3/2015;388,48;388,48;388,48;355,45
2015;3;12;14/3/2015;20/3/2015;388,48;388,48;388,48;388,48
2015;3;13;21/3/2015;27/3/2015;388,48;388,48;388,48;388,48
2015;3;14;28/3/2015;3/4/2015;388,48;388,48;388,48;68,69
2015;4;15;4/4/2015;10/4/2015;388,48;388,48;388,48;92,03
2015;4;16;11/4/2015;17/4/2015;388,48;388,48;388,48;213,53
2015;4;17;18/4/2015;24/4/2015;388,48;388,48;388,48;108,95
2015;4;18;25/4/2015;1/5/2015;388,48;388,48;388,48;119,33
2015;5;19;2/5/2015;8/5/2015;388,48;388,48;388,48;100,06
2015;5;20;9/5/2015;15/5/2015;388,48;388,48;388,48;92,96
2015;5;21;16/5/2015;22/5/2015;388,48;388,48;388,48;133,55
2015;5;22;23/5/2015;29/5/2015;388,48;388,48;388,48;158,54
2015;6;24;1/6/2015;5/6/2015;375,81;375,81;375,81;375,81
2015;6;25;6/6/2015;12/6/2015;383,85;383,85;383,85;383,85
2015;6;26;13/6/2015;19/6/2015;360,54;360,54;360,54;360,54
2015;6;27;20/6/2015;26/6/2015;369,03;369,03;369,03;369,03
2015;6;28;27/6/2015;3/7/2015;378,01;378,01;378,01;378,01
