ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2008;12;1;27/12/2008;2/1/2009;74,11;74,11;74,11;74,11
2009;1;2;3/1/2009;9/1/2009;28,13;28,13;26,55;26,55
2009;1;3;10/1/2009;16/1/2009;62,52;62,52;61,3;61,3
2009;1;4;17/1/2009;23/1/2009;139,48;139,48;125,44;125,68
2009;1;5;24/1/2009;30/1/2009;109,78;109,87;107,59;107,59
2009;1;6;31/1/2009;6/2/2009;65,31;65,31;16,31;16,31
2009;2;7;7/2/2009;13/2/2009;70,46;70,46;27,06;27,06
2009;2;8;14/2/2009;20/2/2009;56,42;84,61;43,46;43,46
2009;2;9;21/2/2009;27/2/2009;16,31;47,88;16,31;16,31
2009;2;10;28/2/2009;6/3/2009;63,39;63,39;61,01;61,01
2009;3;11;7/3/2009;13/3/2009;82,63;82,63;77,26;16,31
2009;3;12;14/3/2009;20/3/2009;107,86;107,86;95,85;16,31
2009;3;13;21/3/2009;27/3/2009;97,08;98,87;91,91;16,31
2009;3;14;28/3/2009;3/4/2009;106,11;106,11;97,75;16,31
2009;4;15;4/4/2009;10/4/2009;27,96;37,31;30,65;16,31
2009;4;16;11/4/2009;17/4/2009;49,88;49,97;16,31;16,31
2009;4;17;18/4/2009;24/4/2009;38,14;39,15;16,31;16,31
2009;4;18;25/4/2009;1/5/2009;45,48;45,7;16,31;16,31
2009;5;19;2/5/2009;8/5/2009;45,89;45,89;36,36;16,31
2009;5;20;9/5/2009;15/5/2009;36,28;36,57;28,82;16,31
2009;5;21;16/5/2009;22/5/2009;36,23;36,33;28,8;16,31
2009;5;22;23/5/2009;29/5/2009;37,12;37,12;29,6;16,31
2009;5;23;30/5/2009;5/6/2009;37,69;37,69;26,98;16,31
2009;6;24;6/6/2009;12/6/2009;34,99;34,99;25,56;16,31
2009;6;25;13/6/2009;19/6/2009;40,88;40,88;28,86;16,31
2009;6;26;20/6/2009;26/6/2009;42,75;42,75;30,27;30,27
2009;6;27;27/6/2009;3/7/2009;51,64;51,64;43,08;43,08
