ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2015;12;1;26/12/2015;1/1/2016;50,59;50,59;344,41;109,12
2016;1;2;2/1/2016;8/1/2016;46,02;45,78;352,86;111,14
2016;1;3;9/1/2016;15/1/2016;35,76;35,76;318,24;85,28
2016;1;4;16/1/2016;22/1/2016;30,25;30,25;309,97;30,25
2016;1;5;23/1/2016;29/1/2016;30,25;30,25;304,41;30,25
2016;1;6;30/1/2016;5/2/2016;30,25;30,25;139,88;30,25
2016;2;7;6/2/2016;12/2/2016;30,25;30,25;111,65;30,25
2016;2;8;13/2/2016;19/2/2016;30,25;30,25;137,81;30,25
2016;2;9;20/2/2016;26/2/2016;30,25;30,25;243,41;30,25
2016;2;10;27/2/2016;4/3/2016;32,16;32,16;223,17;32,16
2016;3;11;5/3/2016;11/3/2016;51,93;51,93;240,34;51,93
2016;3;12;12/3/2016;18/3/2016;30,58;30,58;259,26;30,58
2016;3;13;19/3/2016;25/3/2016;30,25;30,25;248,6;30,25
2016;3;14;26/3/2016;1/4/2016;41,82;41,82;265,53;41,82
2016;4;15;2/4/2016;8/4/2016;43,13;43,13;276,82;43,13
2016;4;16;9/4/2016;15/4/2016;47,79;47,79;275,5;47,79
2016;4;17;16/4/2016;22/4/2016;51,45;51,45;262,72;51,45
2016;4;18;23/4/2016;29/4/2016;51,03;51,03;275,22;51,03
2016;4;19;30/4/2016;6/5/2016;86,45;86,45;103,2;87,9
2016;5;20;7/5/2016;13/5/2016;80,39;80,39;99,79;82,12
2016;5;21;14/5/2016;20/5/2016;74,51;72,54;99,79;76,7
2016;5;22;21/5/2016;27/5/2016;73,31;73,31;99,79;77,98
2016;5;23;28/5/2016;3/6/2016;59,68;55,8;143,67;143,67
2016;6;24;4/6/2016;10/6/2016;59,54;50,34;113,72;90,74
2016;6;25;11/6/2016;17/6/2016;58,29;50,22;130,78;87,19
2016;6;26;18/6/2016;24/6/2016;56,8;53,12;112,76;109,14
2016;6;27;25/6/2016;1/7/2016;72,94;72,94;104,13;104,13
