ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2006;12;1;30/12/2006;5/1/2007;36,14;42,84;17,59;17,59
2007;1;2;6/1/2007;12/1/2007;26,49;37,58;17,59;17,59
2007;1;3;13/1/2007;19/1/2007;17,59;17,59;17,59;17,59
2007;1;4;20/1/2007;26/1/2007;17,59;17,59;17,59;17,59
2007;1;5;27/1/2007;2/2/2007;17,59;17,59;17,59;17,59
2007;2;6;3/2/2007;9/2/2007;17,59;17,59;17,59;17,59
2007;2;7;10/2/2007;16/2/2007;17,59;17,59;17,59;17,59
2007;2;8;17/2/2007;23/2/2007;17,59;17,59;17,59;17,59
2007;2;9;24/2/2007;2/3/2007;17,59;17,59;17,59;17,59
2007;3;10;3/3/2007;9/3/2007;17,59;17,59;17,59;17,59
2007;3;11;10/3/2007;16/3/2007;17,59;17,59;17,59;17,59
2007;3;12;17/3/2007;23/3/2007;17,59;17,59;17,59;17,59
2007;3;13;24/3/2007;30/3/2007;17,59;17,59;17,59;17,59
2007;3;14;31/3/2007;6/4/2007;17,59;17,59;17,59;17,59
2007;4;15;7/4/2007;13/4/2007;62,73;62,68;17,59;17,59
2007;4;16;14/4/2007;20/4/2007;53,82;53,76;33,94;17,59
2007;4;17;21/4/2007;27/4/2007;56,45;55,25;34,95;34,95
2007;4;18;28/4/2007;4/5/2007;54,74;54,7;43,73;43,73
2007;5;19;5/5/2007;11/5/2007;36,76;20,42;32,28;32,28
2007;5;20;12/5/2007;18/5/2007;44,21;19,63;36,76;36,76
2007;5;21;19/5/2007;25/5/2007;49,92;17,59;39,74;39,74
2007;5;22;26/5/2007;1/6/2007;120,62;17,59;119,72;119,72
2007;6;23;2/6/2007;8/6/2007;103,11;29,15;103,04;103,04
2007;6;24;9/6/2007;15/6/2007;116,74;54,21;116,57;116,57
2007;6;25;16/6/2007;22/6/2007;76,61;67,42;77,6;77,18
2007;6;26;23/6/2007;29/6/2007;82,92;81,49;83,66;83,58
2007;6;27;30/6/2007;6/7/2007;138,99;138,99;130,74;138,99
