ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2011;12;1;31/12/2011;6/1/2012;46,71;46,71;16,01;16,01
2012;1;2;7/1/2012;13/1/2012;29,28;29,28;12,2;12,2
2012;1;3;14/1/2012;20/1/2012;12,2;12,2;12,2;12,2
2012;1;4;21/1/2012;27/1/2012;12,2;12,2;12,2;12,2
2012;1;5;28/1/2012;3/2/2012;15,62;15,62;12,2;12,2
2012;2;6;4/2/2012;10/2/2012;36,88;36,88;12,2;12,2
2012;2;7;11/2/2012;17/2/2012;55,13;55,13;12,2;12,2
2012;2;8;18/2/2012;24/2/2012;62,77;62,77;12,2;12,2
2012;2;9;25/2/2012;2/3/2012;67,55;67,55;14,35;14,35
2012;3;10;3/3/2012;9/3/2012;97,15;97,15;86,52;86,52
2012;3;11;10/3/2012;16/3/2012;137,24;137,24;116,8;116,8
2012;3;12;17/3/2012;23/3/2012;140,63;140,63;119,17;119,17
2012;3;13;24/3/2012;30/3/2012;132,55;132,55;132,55;132,55
2012;3;14;31/3/2012;6/4/2012;185,65;185,65;168,38;168,38
2012;4;15;7/4/2012;13/4/2012;192,04;196,21;187,17;187,17
2012;4;16;14/4/2012;20/4/2012;202,08;210,95;180,89;180,89
2012;4;17;21/4/2012;27/4/2012;191,6;191,6;191,6;191,6
2012;4;18;28/4/2012;4/5/2012;189,07;189,07;184,51;184,51
2012;5;19;5/5/2012;11/5/2012;179,96;179,96;179,96;179,96
2012;5;20;12/5/2012;18/5/2012;170,51;170,51;170,51;170,51
2012;5;21;19/5/2012;25/5/2012;190,84;190,84;190,84;190,84
2012;5;22;26/5/2012;1/6/2012;177,28;177,28;177,28;177,28
2012;6;23;2/6/2012;8/6/2012;146,75;146,75;146,75;146,75
2012;6;24;9/6/2012;15/6/2012;147,83;147,83;147,83;147,83
2012;6;25;16/6/2012;22/6/2012;102,87;102,87;102,87;102,87
2012;6;26;23/6/2012;29/6/2012;76,95;76,95;77,62;76,95
2012;6;27;30/6/2012;6/7/2012;56,3;56,29;56,3;56,3
