ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2012;12;1;29/12/2012;4/1/2013;341,66;341,66;341,66;341,66
2013;1;2;5/1/2013;11/1/2013;554,82;554,82;551,68;551,68
2013;1;3;12/1/2013;18/1/2013;339,83;339,83;339,83;339,83
2013;1;4;19/1/2013;25/1/2013;479,82;479,82;478,5;478,5
2013;1;5;26/1/2013;1/2/2013;307,52;307,52;290,91;290,91
2013;2;6;2/2/2013;8/2/2013;174,99;174,99;174,99;174,99
2013;2;7;9/2/2013;15/2/2013;156,62;156,62;152,61;152,61
2013;2;8;16/2/2013;22/2/2013;214,62;214,62;213,35;213,35
2013;2;9;23/2/2013;1/3/2013;312,59;312,59;312,59;312,59
2013;3;10;2/3/2013;8/3/2013;373,9;373,9;372,56;372,56
2013;3;11;9/3/2013;15/3/2013;341,98;341,98;341,75;341,75
2013;3;12;16/3/2013;22/3/2013;338,89;338,89;338,89;338,89
2013;3;13;23/3/2013;29/3/2013;319,56;319,56;321,51;319,56
2013;3;14;30/3/2013;5/4/2013;299,64;299,64;299,64;299,64
2013;4;15;6/4/2013;12/4/2013;189,11;189,11;189,79;189,11
2013;4;16;13/4/2013;19/4/2013;150,3;150,3;151,25;150,3
2013;4;17;20/4/2013;26/4/2013;128,33;128,33;131,47;128,33
2013;4;18;27/4/2013;3/5/2013;277,68;277,68;278,7;277,68
2013;5;19;4/5/2013;10/5/2013;349,42;348,25;345,77;345,77
2013;5;20;11/5/2013;17/5/2013;356,57;356,57;356,57;356,57
2013;5;21;18/5/2013;24/5/2013;354,32;354,32;354,32;354,32
2013;5;22;25/5/2013;31/5/2013;356,02;356,02;356,02;356,02
2013;6;23;1/6/2013;7/6/2013;323,54;323,54;323,54;323,54
2013;6;24;8/6/2013;14/6/2013;180,62;180,62;181,1;180,62
2013;6;25;15/6/2013;21/6/2013;192,06;192,06;192,06;192,06
2013;6;26;22/6/2013;28/6/2013;166,07;165,94;166,07;166,07
2013;6;27;29/6/2013;5/7/2013;97,15;55,54;99,43;97,58
