ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2016;7;1;2/7/2016;8/7/2016;82,14;82,14;95,22;83,94
2016;7;2;9/7/2016;15/7/2016;86,22;86,22;108,91;108,91
2016;7;3;16/7/2016;22/7/2016;79,96;79,96;111,88;111,88
2016;7;4;23/7/2016;29/7/2016;77,36;77,36;117,05;117,05
2016;7;5;30/7/2016;5/8/2016;117,58;117,58;117,58;117,58
2016;8;6;6/8/2016;12/8/2016;117,44;117,44;117,44;117,44
2016;8;7;13/8/2016;19/8/2016;115,63;115,63;115,63;115,63
2016;8;8;20/8/2016;26/8/2016;94,51;94,51;111,74;111,74
2016;8;9;27/8/2016;31/8/2016;140,71;122,17;140,71;140,71
2016;9;10;1/9/2016;2/9/2016;140,71;122,17;140,71;140,71
2016;9;11;3/9/2016;9/9/2016;147,87;127,83;147,87;147,87
2016;9;12;10/9/2016;16/9/2016;148,26;135,69;148,26;148,26
2016;9;13;17/9/2016;23/9/2016;145,5;145,5;145,5;145,5
2016;9;14;24/9/2016;30/9/2016;155,22;155,22;155,22;155,22
2016;10;15;1/10/2016;7/10/2016;213,29;213,29;213,29;213,29
2016;10;16;8/10/2016;14/10/2016;214,32;214,32;214,32;214,32
2016;10;17;15/10/2016;21/10/2016;193,41;193,41;193,41;193,41
2016;10;18;22/10/2016;28/10/2016;165,81;165,81;165,81;165,81
2016;10;19;29/10/2016;31/10/2016;232,85;232,85;232,85;232,85
2016;11;20;1/11/2016;4/11/2016;178,59;178,59;178,59;178,59
2016;11;21;5/11/2016;11/11/2016;184,23;184,23;184,23;184,23
2016;11;22;12/11/2016;18/11/2016;169,9;169,9;169,9;169,9
2016;11;23;19/11/2016;25/11/2016;153,48;153,48;153,48;153,48
2016;11;24;26/11/2016;2/12/2016;142,85;142,85;142,85;142,85
2016;12;25;3/12/2016;9/12/2016;101,99;101,99;101,99;101,99
2016;12;26;10/12/2016;16/12/2016;121,56;121,56;121,56;121,56
2016;12;27;17/12/2016;23/12/2016;142,93;142,93;142,93;142,93
2016;12;28;24/12/2016;30/12/2016;113,62;113,62;113,62;113,62
2016;12;29;31/12/2016;6/1/2017;140,86;140,86;140,86;140,86
