ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2011;1;1;1/1/2011;7/1/2011;69;69;69;69
2011;1;2;8/1/2011;14/1/2011;12,08;12,08;12,08;12,08
2011;1;3;15/1/2011;21/1/2011;15,51;15,51;15,37;15,37
2011;1;4;22/1/2011;28/1/2011;21,83;21,83;21,83;21,83
2011;1;5;29/1/2011;4/2/2011;15,49;15,49;23,27;15,49
2011;2;6;5/2/2011;11/2/2011;37,78;37,78;37,78;37,78
2011;2;7;12/2/2011;18/2/2011;54,1;53,62;54,1;54,1
2011;2;8;19/2/2011;25/2/2011;63,3;45,69;62,54;62,54
2011;2;9;26/2/2011;4/3/2011;79,77;56,02;79,05;79,05
2011;3;10;5/3/2011;11/3/2011;12,08;12,08;12,08;12,08
2011;3;11;12/3/2011;18/3/2011;22,52;22,52;29,13;22,52
2011;3;12;19/3/2011;25/3/2011;12,99;12,99;13,5;12,99
2011;3;13;26/3/2011;1/4/2011;12,08;12,08;12,08;12,08
2011;4;14;2/4/2011;8/4/2011;12,08;12,08;12,08;12,08
2011;4;15;9/4/2011;15/4/2011;12,08;12,08;12,08;12,08
2011;4;16;16/4/2011;22/4/2011;12,08;12,08;12,08;12,08
2011;4;17;23/4/2011;29/4/2011;12,08;12,08;12,08;12,08
2011;4;18;30/4/2011;6/5/2011;15,54;15,54;15,57;15,54
2011;5;19;7/5/2011;13/5/2011;13,82;13,82;13,7;13,69
2011;5;20;14/5/2011;20/5/2011;15,48;15,48;15,48;15,48
2011;5;21;21/5/2011;27/5/2011;17,06;17,06;17,06;17,06
2011;5;22;28/5/2011;3/6/2011;30,01;30,01;29,44;29,44
2011;6;23;4/6/2011;10/6/2011;32,79;32,79;32,79;32,79
2011;6;24;11/6/2011;17/6/2011;34,95;34,95;34,95;34,95
2011;6;25;18/6/2011;24/6/2011;29,67;29,67;29,67;29,67
2011;6;26;25/6/2011;1/7/2011;30,41;30,41;30,41;30,41
