ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2005;12;1;31/12/2005;6/1/2006;16,92;16,92;16,92;16,92
2006;1;2;7/1/2006;13/1/2006;16,92;16,92;16,92;16,92
2006;1;3;14/1/2006;20/1/2006;16,92;16,92;16,92;16,92
2006;1;4;21/1/2006;27/1/2006;39,69;40,31;16,92;16,92
2006;1;5;28/1/2006;3/2/2006;68,04;68,04;34,12;34,12
2006;2;6;4/2/2006;10/2/2006;60,7;61,8;37,53;16,92
2006;2;7;11/2/2006;17/2/2006;85,25;85,25;44,93;44,93
2006;2;8;18/2/2006;24/2/2006;35,41;53,73;30,66;30,66
2006;2;9;25/2/2006;3/3/2006;38,26;43,13;39,91;16,92
2006;3;10;4/3/2006;10/3/2006;39,29;44,58;39,95;16,92
2006;3;11;11/3/2006;17/3/2006;16,92;44,83;39,18;16,92
2006;3;12;18/3/2006;24/3/2006;16,92;41,72;32,67;16,92
2006;3;13;25/3/2006;31/3/2006;36,89;39,31;30,97;25,88
2006;4;14;1/4/2006;7/4/2006;23,42;23,55;16,92;16,92
2006;4;15;8/4/2006;14/4/2006;21,47;21,94;16,92;16,92
2006;4;16;15/4/2006;21/4/2006;17,38;17,47;16,92;16,92
2006;4;17;22/4/2006;28/4/2006;16,92;16,92;16,92;16,92
2006;4;18;29/4/2006;5/5/2006;36,34;36,63;16,92;16,92
2006;5;19;6/5/2006;12/5/2006;49,11;49,42;18,9;17,14
2006;5;20;13/5/2006;19/5/2006;56,29;56,29;20,82;16,92
2006;5;21;20/5/2006;26/5/2006;55,63;56,38;20,25;16,92
2006;5;22;27/5/2006;2/6/2006;60;61,98;21,84;16,92
2006;6;23;3/6/2006;9/6/2006;61,86;63,92;22,38;16,92
2006;6;24;10/6/2006;16/6/2006;64,72;66,84;23,15;23,15
2006;6;25;17/6/2006;23/6/2006;74,19;76,86;24,4;74,19
2006;6;26;24/6/2006;30/6/2006;73,07;74,91;24,29;73,07
2006;7;27;1/7/2006;7/7/2006;92,72;93,9;28,72;92,72
