ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2005;7;1;2/7/2005;8/7/2005;26,36;26,32;18,33;26,36
2005;7;2;9/7/2005;15/7/2005;32,79;32,79;18,33;32,79
2005;7;3;16/7/2005;22/7/2005;35,45;35,45;18,33;35,45
2005;7;4;23/7/2005;29/7/2005;34,3;34,3;18,33;34,3
2005;7;5;30/7/2005;5/8/2005;28,67;28,67;18,33;28,67
2005;8;6;6/8/2005;12/8/2005;27,41;27,41;18,33;27,41
2005;8;7;13/8/2005;19/8/2005;37,72;37,72;18,33;37,72
2005;8;8;20/8/2005;26/8/2005;33,34;33,34;18,33;33,34
2005;8;9;27/8/2005;2/9/2005;47,44;47,44;19,41;47,44
2005;9;10;3/9/2005;9/9/2005;39,49;39,49;18,33;39,49
2005;9;11;10/9/2005;16/9/2005;32,08;27,21;18,33;32,08
2005;9;12;17/9/2005;23/9/2005;27,96;24,32;18,33;27,96
2005;9;13;24/9/2005;30/9/2005;23,8;21,52;18,33;23,8
2005;10;14;1/10/2005;7/10/2005;36,87;18,33;18,33;36,87
2005;10;15;8/10/2005;14/10/2005;40,61;20,56;18,33;40,61
2005;10;16;15/10/2005;21/10/2005;42,64;18,33;18,33;42,64
2005;10;17;22/10/2005;28/10/2005;49,91;18,33;19,5;49,91
2005;10;18;29/10/2005;4/11/2005;48,85;18,33;21,03;48,85
2005;11;19;5/11/2005;11/11/2005;32,19;18,33;18,58;32,19
2005;11;20;12/11/2005;18/11/2005;33,18;18,33;18,54;33,18
2005;11;21;19/11/2005;25/11/2005;36,7;33,37;21,36;36,7
2005;11;22;26/11/2005;2/12/2005;32,4;32,32;20,04;32,4
2005;12;23;3/12/2005;9/12/2005;18,33;18,33;18,33;18,33
2005;12;24;10/12/2005;16/12/2005;18,33;18,33;18,33;18,33
2005;12;25;17/12/2005;23/12/2005;18,33;18,33;18,33;18,33
2005;12;26;24/12/2005;30/12/2005;18,33;18,33;18,33;18,33
2005;12;27;31/12/2005;6/1/2006;16,92;16,92;16,92;16,92
