ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2015;6;1;27/6/2015;3/7/2015;378,01;378,01;378,01;378,01
2015;7;2;4/7/2015;10/7/2015;317,79;317,79;317,79;317,79
2015;7;3;11/7/2015;17/7/2015;231,65;231,65;238,74;231,65
2015;7;4;18/7/2015;24/7/2015;172,69;105,22;179,81;177,84
2015;7;5;25/7/2015;31/7/2015;178,63;95,04;180,61;178,63
2015;8;6;1/8/2015;7/8/2015;118,81;118,81;118,81;118,81
2015;8;7;8/8/2015;14/8/2015;129,52;129,52;129,52;129,52
2015;8;8;15/8/2015;21/8/2015;136,94;136,94;136,94;136,94
2015;8;9;22/8/2015;28/8/2015;139,91;139,91;139,91;139,91
2015;8;10;29/8/2015;4/9/2015;274,98;274,98;274,98;274,98
2015;9;11;5/9/2015;11/9/2015;245,97;245,97;245,97;245,97
2015;9;12;12/9/2015;18/9/2015;199,89;199,89;199,89;199,89
2015;9;13;19/9/2015;25/9/2015;222,23;222,23;222,23;222,23
2015;9;14;26/9/2015;2/10/2015;206,68;206,68;206,68;206,68
2015;10;15;3/10/2015;9/10/2015;217,18;217,18;217,18;217,18
2015;10;16;10/10/2015;16/10/2015;205,67;205,67;205,67;205,67
2015;10;17;17/10/2015;23/10/2015;207,24;192,4;207,24;207,24
2015;10;18;24/10/2015;30/10/2015;214,83;197,08;244,03;244,03
2015;10;19;31/10/2015;6/11/2015;245,3;187,89;245,3;245,3
2015;11;20;7/11/2015;13/11/2015;208,17;195,6;212,39;212,39
2015;11;21;14/11/2015;20/11/2015;188,81;188,81;274,91;274,91
2015;11;22;21/11/2015;27/11/2015;199,57;192,96;323,15;323,15
2015;11;23;28/11/2015;4/12/2015;149,49;149,49;371,08;196,62
2015;12;24;5/12/2015;11/12/2015;134,33;134,33;323,15;159,61
2015;12;25;12/12/2015;18/12/2015;110,1;98,39;309,97;175,7
2015;12;26;19/12/2015;25/12/2015;140,15;127,35;201,72;197,89
2015;12;27;26/12/2015;1/1/2016;50,59;50,59;344,41;109,12
