ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2016;12;1;31/12/2016;6/1/2017;140,86;140,86;140,86;140,86
2017;1;2;7/1/2017;13/1/2017;101,24;101,24;124,05;101,24
2017;1;3;14/1/2017;20/1/2017;128,5;128,5;135,09;128,5
2017;1;4;21/1/2017;27/1/2017;129,9;129,9;138,94;129,9
2017;1;5;28/1/2017;3/2/2017;100,64;100,64;171,33;100,64
2017;2;6;4/2/2017;10/2/2017;111,91;111,91;171,33;111,91
2017;2;7;11/2/2017;17/2/2017;120,97;120,97;159,77;120,97
2017;2;8;18/2/2017;24/2/2017;132,38;132,38;148,93;33,68
2017;2;9;25/2/2017;3/3/2017;184,49;184,49;184,49;33,68
2017;3;10;4/3/2017;10/3/2017;185,06;185,06;185,06;33,68
2017;3;11;11/3/2017;17/3/2017;238,55;238,55;241,65;33,68
2017;3;12;18/3/2017;24/3/2017;219,1;219,1;386,46;33,68
2017;3;13;25/3/2017;31/3/2017;235,67;235,67;365,35;33,68
2017;4;14;1/4/2017;7/4/2017;426,1;426,1;430,14;33,68
2017;4;15;8/4/2017;14/4/2017;356,68;356,68;356,68;33,68
2017;4;16;15/4/2017;21/4/2017;350,66;350,66;350,66;33,68
2017;4;17;22/4/2017;28/4/2017;331,01;331,01;331,01;33,68
2017;4;18;29/4/2017;5/5/2017;448,58;448,58;448,58;33,68
2017;5;19;6/5/2017;12/5/2017;463,69;463,69;463,69;33,68
2017;5;20;13/5/2017;19/5/2017;477,5;477,5;477,5;145,62
2017;5;21;20/5/2017;26/5/2017;478,01;478,01;478,01;476,01
2017;5;22;27/5/2017;2/6/2017;118,77;118,77;157,33;118,77
2017;6;23;3/6/2017;9/6/2017;103,07;33,68;127,6;103,07
2017;6;24;10/6/2017;16/6/2017;93,9;33,68;123,25;93,9
2017;6;25;17/6/2017;23/6/2017;140,18;87;140,18;140,18
2017;6;26;24/6/2017;30/6/2017;160,62;91,44;178,85;178,85
2017;7;27;1/7/2017;7/7/2017;233,32;233,32;233,32;233,32
