ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2007;12;1;29/12/2007;4/1/2008;247,01;247,01;247,01;247,01
2008;1;2;5/1/2008;11/1/2008;473,14;473,14;473,14;473,14
2008;1;3;12/1/2008;18/1/2008;569,59;569,59;569,59;569,59
2008;1;4;19/1/2008;25/1/2008;569,59;569,59;548,14;569,59
2008;1;5;26/1/2008;1/2/2008;550,28;550,28;550,28;550,28
2008;2;6;2/2/2008;8/2/2008;255;255;256,05;255,06
2008;2;7;9/2/2008;15/2/2008;122,91;123,87;126,3;122,91
2008;2;8;16/2/2008;22/2/2008;160,7;160,7;180,33;160,7
2008;2;9;23/2/2008;29/2/2008;213,52;213,52;247,02;213,52
2008;3;10;1/3/2008;7/3/2008;139,01;139,05;135,46;135,46
2008;3;11;8/3/2008;14/3/2008;133,23;133,23;125,59;125,59
2008;3;12;15/3/2008;21/3/2008;174,63;176,82;167,72;167,72
2008;3;13;22/3/2008;28/3/2008;69,51;77,7;80,48;69,51
2008;3;14;29/3/2008;4/4/2008;84,47;89,33;85,29;59,96
2008;4;15;5/4/2008;11/4/2008;117,1;121,04;113,25;77,75
2008;4;16;12/4/2008;18/4/2008;68,38;71,89;68,38;49,24
2008;4;17;19/4/2008;25/4/2008;32;35,65;48,28;32
2008;4;18;26/4/2008;2/5/2008;40,47;40,49;41,4;30,16
2008;5;19;3/5/2008;9/5/2008;29,05;29,05;29,36;24,33
2008;5;20;10/5/2008;16/5/2008;15,47;15,47;15,47;15,47
2008;5;21;17/5/2008;23/5/2008;34,04;34,04;34,34;27,51
2008;5;22;24/5/2008;30/5/2008;50,52;50,52;51,16;38,22
2008;5;23;31/5/2008;6/6/2008;76,2;76,2;71,93;71,93
2008;6;24;7/6/2008;13/6/2008;76,2;76,2;76,2;76,2
2008;6;25;14/6/2008;20/6/2008;70,41;70,41;70,41;70,41
2008;6;26;21/6/2008;27/6/2008;76,83;76,83;76,83;76,83
2008;6;27;28/6/2008;4/7/2008;88,21;88,21;88,21;88,21
