ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2017;12;1;30/12/2017;5/1/2018;196,1;199,55;182,49;168,14
2018;1;2;6/1/2018;12/1/2018;176,64;178,67;179,91;165,52
2018;1;3;13/1/2018;19/1/2018;162,95;165,82;162,06;142,37
2018;1;4;20/1/2018;26/1/2018;192,89;191,89;190,37;145,6
2018;1;5;27/1/2018;2/2/2018;175,04;152,06;176,34;78,68
2018;2;6;3/2/2018;9/2/2018;179,42;178,5;176,42;40,16
2018;2;7;10/2/2018;16/2/2018;170,45;173,44;167,6;40,16
2018;2;8;17/2/2018;23/2/2018;210,79;214,37;184,27;40,16
2018;2;9;24/2/2018;2/3/2018;201,98;201,98;189,22;40,16
2018;3;10;3/3/2018;9/3/2018;223,21;223,21;223,21;40,16
2018;3;11;10/3/2018;16/3/2018;236,02;236,02;236,02;40,16
2018;3;12;17/3/2018;23/3/2018;219,5;219,5;218,38;40,16
2018;3;13;24/3/2018;30/3/2018;228,54;228,54;228,54;40,16
2018;3;14;31/3/2018;6/4/2018;40,16;40,16;40,16;40,16
2018;4;15;7/4/2018;13/4/2018;84,83;84,83;106,83;78,04
2018;4;16;14/4/2018;20/4/2018;122,73;122,73;122,73;49,29
2018;4;17;21/4/2018;27/4/2018;135,38;135,38;135,38;40,16
2018;4;18;28/4/2018;4/5/2018;216,86;216,86;154,51;40,16
2018;5;19;5/5/2018;11/5/2018;305,96;305,96;154,51;40,16
2018;5;20;12/5/2018;18/5/2018;326,46;326,46;165,95;114,9
2018;5;21;19/5/2018;25/5/2018;340,8;340,8;201,88;201,88
2018;5;22;26/5/2018;1/6/2018;402,29;402,29;380,73;380,73
2018;6;23;2/6/2018;8/6/2018;440,98;440,98;321,06;321,06
2018;6;24;9/6/2018;15/6/2018;472,21;472,21;463,52;463,52
2018;6;25;16/6/2018;22/6/2018;477,77;477,77;477,77;477,77
2018;6;26;23/6/2018;29/6/2018;505,18;505,18;505,18;505,18
2018;6;27;30/6/2018;6/7/2018;505,18;505,18;505,18;505,18
