ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2007;6;1;30/6/2007;6/7/2007;138,99;138,99;130,74;138,99
2007;7;2;7/7/2007;13/7/2007;141,98;141,98;131,97;141,98
2007;7;3;14/7/2007;20/7/2007;130,75;130,45;130,45;130,75
2007;7;4;21/7/2007;27/7/2007;117,02;116,47;117,02;117,02
2007;7;5;28/7/2007;3/8/2007;59,68;57,95;61,67;61,67
2007;8;6;4/8/2007;10/8/2007;29,13;17,59;35,27;29,57
2007;8;7;11/8/2007;17/8/2007;27,97;27,11;37,68;37,68
2007;8;8;18/8/2007;24/8/2007;34,09;33,88;41,68;40,96
2007;8;9;25/8/2007;31/8/2007;57,06;56,58;61,83;61,83
2007;9;10;1/9/2007;7/9/2007;128,2;128,2;126,55;128,2
2007;9;11;8/9/2007;14/9/2007;131,01;131,01;131,01;131,01
2007;9;12;15/9/2007;21/9/2007;147,57;148,7;147,37;147,57
2007;9;13;22/9/2007;28/9/2007;186,48;186,48;186,48;186,48
2007;9;14;29/9/2007;5/10/2007;167,25;167,25;167,25;167,25
2007;10;15;6/10/2007;12/10/2007;172,24;172,24;169,43;172,24
2007;10;16;13/10/2007;19/10/2007;205,77;205,77;205,77;205,77
2007;10;17;20/10/2007;26/10/2007;210,07;210,07;209,89;210,07
2007;10;18;27/10/2007;2/11/2007;237,66;237,66;237,66;237,66
2007;11;19;3/11/2007;9/11/2007;223,91;223,91;223,91;223,91
2007;11;20;10/11/2007;16/11/2007;181,42;181,42;181,42;181,42
2007;11;21;17/11/2007;23/11/2007;150,54;150,54;150,54;150,54
2007;11;22;24/11/2007;30/11/2007;169,55;169,55;169,55;169,55
2007;12;23;1/12/2007;7/12/2007;189,25;189,25;189,25;189,25
2007;12;24;8/12/2007;14/12/2007;212,2;212,2;212,2;212,2
2007;12;25;15/12/2007;21/12/2007;200,48;200,48;200,48;200,48
2007;12;26;22/12/2007;28/12/2007;199,76;199,76;199,76;199,76
2007;12;27;29/12/2007;4/1/2008;247,01;247,01;247,01;247,01
