ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2009;6;1;27/6/2009;3/7/2009;51,64;51,64;43,08;43,08
2009;7;2;4/7/2009;10/7/2009;38,92;38,92;30,4;30,4
2009;7;3;11/7/2009;17/7/2009;31,43;31,43;25,45;25,45
2009;7;4;18/7/2009;24/7/2009;20,77;20,77;17,32;17,32
2009;7;5;25/7/2009;31/7/2009;21,5;21,5;21,5;21,5
2009;8;6;1/8/2009;7/8/2009;16,31;16,31;16,31;16,31
2009;8;7;8/8/2009;14/8/2009;16,31;16,31;16,31;16,31
2009;8;8;15/8/2009;21/8/2009;16,31;16,31;16,31;16,31
2009;8;9;22/8/2009;28/8/2009;16,31;16,31;16,31;16,31
2009;8;10;29/8/2009;4/9/2009;16,31;16,31;16,31;16,31
2009;9;11;5/9/2009;11/9/2009;16,31;16,31;16,31;16,31
2009;9;12;12/9/2009;18/9/2009;16,31;16,31;16,31;16,31
2009;9;13;19/9/2009;25/9/2009;16,31;16,31;16,31;16,31
2009;9;14;26/9/2009;2/10/2009;16,31;16,31;16,31;16,31
2009;10;15;3/10/2009;9/10/2009;16,31;16,31;16,31;16,31
2009;10;16;10/10/2009;16/10/2009;16,31;16,31;16,31;16,31
2009;10;17;17/10/2009;23/10/2009;16,31;16,31;16,31;16,31
2009;10;18;24/10/2009;30/10/2009;16,31;16,31;16,31;16,31
2009;10;19;31/10/2009;6/11/2009;16,31;16,31;16,31;16,31
2009;11;20;7/11/2009;13/11/2009;16,31;16,31;16,31;16,31
2009;11;21;14/11/2009;20/11/2009;16,31;16,31;16,31;16,31
2009;11;22;21/11/2009;27/11/2009;16,31;16,31;16,31;16,31
2009;11;23;28/11/2009;4/12/2009;16,31;16,31;16,31;16,31
2009;12;24;5/12/2009;11/12/2009;16,31;16,31;16,31;16,31
2009;12;25;12/12/2009;18/12/2009;16,31;16,31;16,31;16,31
2009;12;26;19/12/2009;25/12/2009;16,31;16,31;16,31;16,31
2009;12;27;26/12/2009;1/1/2010;16,31;16,31;16,31;16,31
