ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2013;12;1;28/12/2013;3/1/2014;249,92;249,92;249,92;249,92
2014;1;2;4/1/2014;10/1/2014;284,27;284,27;284,27;224,82
2014;1;3;11/1/2014;17/1/2014;388,98;388,98;391,8;388,98
2014;1;4;18/1/2014;24/1/2014;410,2;410,2;410,2;410,2
2014;1;5;25/1/2014;31/1/2014;484,43;484,43;486,59;484,43
2014;2;6;1/2/2014;7/2/2014;822,83;822,83;822,83;822,83
2014;2;7;8/2/2014;14/2/2014;822,83;822,83;740,56;205,95
2014;2;8;15/2/2014;21/2/2014;822,83;822,83;730,19;574,31
2014;2;9;22/2/2014;28/2/2014;822,83;822,83;730,17;205,95
2014;3;10;1/3/2014;7/3/2014;822,83;822,83;626,11;400,51
2014;3;11;8/3/2014;14/3/2014;822,83;822,83;725,25;684,39
2014;3;12;15/3/2014;21/3/2014;822,83;822,83;822,83;822,83
2014;3;13;22/3/2014;28/3/2014;822,83;822,83;822,83;822,83
2014;3;14;29/3/2014;4/4/2014;822,83;822,83;822,83;822,83
2014;4;15;5/4/2014;11/4/2014;822,83;822,83;822,4;755,37
2014;4;16;12/4/2014;18/4/2014;822,83;822,83;751,99;695,31
2014;4;17;19/4/2014;25/4/2014;822,83;822,83;695,92;665,37
2014;4;18;26/4/2014;2/5/2014;822,83;822,83;628,3;217,66
2014;5;19;3/5/2014;9/5/2014;792,95;792,95;697,82;226,71
2014;5;20;10/5/2014;16/5/2014;822,83;822,83;820,18;149,51
2014;5;21;17/5/2014;23/5/2014;822,83;822,83;822,83;147,66
2014;5;22;24/5/2014;30/5/2014;817,05;817,05;817,05;817,05
2014;5;23;31/5/2014;6/6/2014;577,65;577,65;577,39;577,39
2014;6;24;7/6/2014;13/6/2014;299,27;219,32;299,27;299,27
2014;6;25;14/6/2014;20/6/2014;384,12;15,62;384,12;384,12
2014;6;26;21/6/2014;27/6/2014;435,93;150,75;435,93;435,93
2014;6;27;28/6/2014;4/7/2014;368,53;15,62;368,53;368,53
